task_id,skill_id,skill_name,skill_type,required_level,is_critical
TSK000010,46ec0033-3c71-415e-bcff-b065675ba2dc,integrate ICT data,skill/competence,3,0
TSK000011,c544a9f3-5945-4b54-afed-de0697852817,report analysis results,skill/competence,4,1
TSK000011,08b04e53-ed25-41a2-9f90-0b9cd939ba3d,manage research data,skill/competence,2,0
TSK000011,9fc400ac-8ed2-4aff-915f-aa4f2609ec7b,multidisciplinary research,knowledge,3,0
TSK000011,0af062de-eb43-41e9-9b96-249e2cd22d26,use markup languages,skill/competence,4,1
TSK000011,852d758c-f222-4edc-99ad-31c9e3bd8079,provide operational efficiency training to employees,skill/competence,2,0
TSK000012,31c69100-b612-4a61-8db5-fd314318854c,execute analytical mathematical calculations,skill/competence,4,1
TSK000012,9ff9db9d-d14b-426e-83f3-e7449af6c79f,manage data,skill/competence,3,0
TSK000012,4a193795-fa63-414e-9f2e-bfdb3924571e,handle data samples,skill/competence,3,0
TSK000012,9cf681c7-89ec-470c-b651-7fe03786f586,query languages,knowledge,4,0
TSK000012,327d15c8-29ff-4ad4-a4fe-6536d777a45f,documentation types,knowledge,3,0
TSK000012,415abd43-e8e5-4643-b5da-5f11307af57a,use different communication channels,skill/competence,3,0
TSK000013,dc72ad0a-c5dc-4abd-bc0d-ca43e82162e1,build business relationships,skill/competence,3,1
TSK000013,c544a9f3-5945-4b54-afed-de0697852817,report analysis results,skill/competence,2,1
TSK000013,909a28ce-d4b6-4567-9b74-d111f1ed9633,maintain plan for continuity of operations,skill/competence,2,0
TSK000013,3cfa46e9-b7da-44ac-b09e-9596dffe0425,optimise choice of ICT solution,skill/competence,1,0
TSK000013,ec85cc63-4e24-4631-bf92-8789db2605c0,maintain database security,skill/competence,2,0
TSK000013,9ef0f3a0-9ce2-4ef1-a987-0366b5cb2dbe,database development tools,knowledge,1,0
TSK000013,40f27736-0d98-4446-8234-11646e4f4bc3,oversee logistics of finished products,skill/competence,1,0
TSK000014,9707091a-323b-4240-877a-5999a19286f0,apply ICT system usage policies,skill/competence,2,0
TSK000014,2a3a96a3-709e-4d60-81f6-d247d6933f13,manage system security,skill/competence,2,0
TSK000014,0fb753a1-2ef2-4429-84d2-ecb2b24daf7a,Apache Tomcat,knowledge,4,1
TSK000014,3cee858e-79e8-4a4b-b99f-93c7f735d58b,DB2,knowledge,2,0
TSK000014,5d26851b-270a-4fbe-abeb-2bfd6eba3e2d,analyse logistic changes,skill/competence,1,0
TSK000015,c544a9f3-5945-4b54-afed-de0697852817,report analysis results,skill/competence,2,0
TSK000015,fe1c2b32-7fe9-4668-affa-07ff658a68cf,identify ICT security risks,skill/competence,3,1
TSK000015,3cfa46e9-b7da-44ac-b09e-9596dffe0425,optimise choice of ICT solution,skill/competence,2,0
TSK000015,64852ade-6ae1-4760-ba4a-976bf07ca255,manage disaster recovery plans,skill/competence,3,1
TSK000015,4913d0c0-133a-4c46-aac3-f5d4989a982e,product usage risks analysis,knowledge,2,0
TSK000015,e043aeeb-78f5-4049-afbf-12bba52225bc,hardware architectures,knowledge,3,0
TSK000015,6fa1c2c0-a012-4ca0-9642-e01569ba322c,ICT system integration,knowledge,3,0
TSK000016,4d39b27a-b34f-4c89-8d46-df844d42f728,increase the impact of science on policy and society,skill/competence,2,1
TSK000016,a57a54b6-2f2e-43e4-9621-b52f4a63cb08,LDAP,knowledge,2,0
TSK000016,b633eb55-8f1f-4ae6-ab4c-2022ffe2cb7f,C++,knowledge,2,0
TSK000017,cb89a5c0-b5cb-4c62-8e7e-7714631b66b5,create semantic trees,skill/competence,3,0
TSK000017,fda917eb-0d6a-4371-8c93-2a10bf950966,manage ICT semantic integration,skill/competence,4,1
TSK000017,0ccdfe98-f845-4598-84a1-3dca66e9d9a3,Ruby (computer programming),knowledge,2,0
TSK000017,0823ccef-813f-4f22-afef-ac0d68615e8f,computer simulation,knowledge,2,0
TSK000017,628664ec-a63b-4486-8d65-02aba81c82a0,ICT sales methodologies,knowledge,2,0
TSK000018,00b9a3aa-7070-4bb5-8020-f228a97cf42f,draft scientific or academic papers and technical documentation,skill/competence,3,1
TSK000018,e464363b-8346-421d-9035-52118b76d8c8,computational biology,knowledge,1,0
TSK000019,99207709-d076-4cce-ba38-e90d3bb28806,resource description framework query language,knowledge,1,0
TSK000019,b04f377b-ee80-4b38-aca1-19d266a23b17,analyse business requirements,skill/competence,3,1
TSK000019,41bf7ede-fc84-4a57-8c89-b548d11b0ba1,manage business knowledge,skill/competence,1,0
TSK000019,cbe2c304-1e7d-489a-97d9-a7d3e37a9db6,apply ICT systems theory,skill/competence,2,0
TSK000019,d9e5349e-8791-49c2-8ba4-839fdd1606c2,define technical requirements,skill/competence,2,0
TSK000019,29fb0fb5-dfc4-4098-ac9b-3a712000f48f,manage database,skill/competence,2,0
TSK000019,7814e88f-c133-4c3b-b27f-857afa145d42,ICT security legislation,knowledge,2,0
TSK000019,ffddfc7c-a9dd-449f-9e96-882dc447c8b6,Scala,knowledge,1,0
TSK000019,58d7a289-dafd-4363-833f-d1dc4140885e,APL,knowledge,3,1
TSK000019,bf987b9a-64f3-44b7-98f1-a60e4585b69b,prepare purchasing reportings,skill/competence,2,0
TSK000020,0b0335f3-0aa1-491e-895e-81fc8774a300,develop automated migration methods,skill/competence,5,1
TSK000020,976455eb-5bbe-4493-ae64-ed16c3b009ea,mobile operating systems,knowledge,5,1
TSK000020,bd14968e-e409-45af-b362-3495ed7b10e0,cloud technologies,knowledge,5,1
TSK000020,71746a0b-e58d-4dc4-ad03-bd84082eae21,collect customer feedback on applications,skill/competence,4,1
TSK000020,ba04b19b-0b18-4d5c-b799-4db31a98e58d,BlackBerry,knowledge,5,1
TSK000020,0de61385-de6d-4146-ba32-1cc1bc102220,Lisp,knowledge,3,0
TSK000020,c7451027-8249-405a-bb1b-342ff0f3fb3b,Salt (tools for software configuration management),knowledge,3,0
TSK000020,fafe0b9d-dbd9-46bd-b770-26299539ce66,ICT process quality models,knowledge,5,1
TSK000021,4913d0c0-133a-4c46-aac3-f5d4989a982e,product usage risks analysis,knowledge,5,1
TSK000021,0e0c9c11-b39e-43cf-ba95-2fe646f5de64,identify customer requirements,skill/competence,5,1
TSK000021,98301d4a-2cc3-439d-8d7f-0b6ac76302bb,business process modelling,knowledge,4,0
TSK000021,c544a9f3-5945-4b54-afed-de0697852817,report analysis results,skill/competence,5,1
TSK000022,1bba98a7-92b9-450b-9235-e0c905f8f3c4,information architecture,knowledge,2,0
TSK000022,9707091a-323b-4240-877a-5999a19286f0,apply ICT system usage policies,skill/competence,2,0
TSK000022,553ad092-b799-44c9-a94c-65a84fdc7526,identify processes for re-engineering,skill/competence,3,1
TSK000022,71746a0b-e58d-4dc4-ad03-bd84082eae21,collect customer feedback on applications,skill/competence,2,0
TSK000022,14d1e367-3efe-4ec5-86ae-eca48710ee4e,implement ICT security policies,skill/competence,1,0
TSK000022,d74df140-eb69-43e2-bac9-1cafc824d702,execute feasibility study,skill/competence,3,0
TSK000022,bd698bbe-7003-4508-b422-46c2ff4d5e95,business strategy concepts,knowledge,2,0
TSK000022,b497a163-daf4-4f1b-a6ba-8c640d803979,debt systems,knowledge,4,1
TSK000022,eccd4313-c931-4e47-853e-76fdfac6e30b,classify insurance claims,skill/competence,3,0
TSK000023,98301d4a-2cc3-439d-8d7f-0b6ac76302bb,business process modelling,knowledge,4,1
TSK000023,dc72ad0a-c5dc-4abd-bc0d-ca43e82162e1,build business relationships,skill/competence,3,1
TSK000023,5be3d306-6cf1-4b49-aa1d-01651dd4ba4c,object-oriented modelling,knowledge,5,1
TSK000023,b04f377b-ee80-4b38-aca1-19d266a23b17,analyse business requirements,skill/competence,2,0
TSK000023,2857540c-180b-4208-9127-e94a01871966,align software with system architectures,skill/competence,2,0
TSK000023,bec4359e-cb92-468f-a997-8fb28e32fba9,ICT project management methodologies,knowledge,2,0
TSK000023,42ed3bfb-1a01-4c8b-9758-fc6438865734,Smalltalk (computer programming),knowledge,3,0
TSK000023,b633eb55-8f1f-4ae6-ab4c-2022ffe2cb7f,C++,knowledge,3,0
TSK000023,ad59afe4-6f8a-4bc4-acfd-0f228277508a,statistical analysis system software,knowledge,1,0
TSK000024,75b30aeb-34c0-40f4-b77d-271d75a98b14,improve business processes,skill/competence,3,1
TSK000024,eff1bb34-b454-4482-8c29-65f820619f3c,insourcing strategy,knowledge,3,0
TSK000024,b8271c8a-cba6-4baa-80f5-6361af3f07e3,ensure adherence to organisational ICT standards,skill/competence,3,1
TSK000024,acf0a78c-f4e3-4bd9-a5cc-9cf4791b3b95,implement a virtual private network,skill/competence,3,0
TSK000024,84f58e3d-8669-4d83-8c1d-5dd1e73a654f,create database diagrams,skill/competence,5,1
TSK000024,9da22795-4383-4bea-9ac5-e80fdf16ece5,perform debt investigation,skill/competence,3,0
TSK000025,5063a99f-975b-4a7c-85e3-69ecb375b4d3,internet governance,knowledge,4,1
TSK000025,ab49f767-296b-47d5-af56-0b4a69515b03,maintain ICT identity management,skill/competence,2,0
TSK000026,c7cc6dc5-d56b-4323-8e5c-47c4022f615f,quality assurance methodologies,knowledge,3,1
TSK000026,7f0b1a66-ebaf-4c8a-b606-4c1844eb692e,attend to ICT systems quality,skill/competence,1,0
TSK000026,4d85b881-e490-4b4c-897a-2faa4ef53956,manage ICT data architecture,skill/competence,3,0
TSK000026,cf532795-a1fd-43bd-8407-6e43f877e6e3,mobile device management,knowledge,2,0
TSK000026,f049d050-12da-4e40-813a-2b5eb6df6b51,Internet of Things,knowledge,2,0
TSK000026,dc72ad0a-c5dc-4abd-bc0d-ca43e82162e1,build business relationships,skill/competence,4,1
TSK000026,8088750d-8388-4170-a76f-48354c469c44,cyber security,knowledge,4,1
TSK000026,d32db06e-bd06-4415-a7ab-1b0ee68caa9a,ICT encryption,knowledge,3,0
TSK000027,4fabca9a-7435-4f33-b1da-3cdb00340fdc,perform scientific research,skill/competence,2,0
TSK000027,6014921e-1d25-4039-adc2-04852d61880e,ICT debugging tools,knowledge,3,1
TSK000027,8b94aa1e-89c9-459d-b3b4-1dfab8dec2df,use software libraries,skill/competence,3,0
TSK000027,d9e5349e-8791-49c2-8ba4-839fdd1606c2,define technical requirements,skill/competence,3,0
TSK000028,0e0c9c11-b39e-43cf-ba95-2fe646f5de64,identify customer requirements,skill/competence,2,0
TSK000028,209a5498-3449-4689-8ed9-bd08cab4fd78,engineering principles,knowledge,3,1
TSK000028,797a4416-0b8d-44f3-8fcd-eb10bd0be6b4,develop software prototype,skill/competence,2,0
TSK000028,0b0335f3-0aa1-491e-895e-81fc8774a300,develop automated migration methods,skill/competence,2,0
TSK000028,72a74f69-5cf1-43c5-99b9-62a444578919,engineering processes,knowledge,2,0
TSK000028,2b7a79e5-84d8-4880-be66-3d9bb05bea17,use software design patterns,skill/competence,2,0
TSK000028,be48353d-25c7-4f86-bea9-7b9e248fbc6e,interpret technical requirements,skill/competence,4,1
TSK000028,59ea80e1-463a-4dba-82c6-d0b6d577d532,technical drawings,knowledge,3,0
TSK000028,6542601c-92ee-4a03-abd9-fde0635727a2,respond to electrical power contingencies,skill/competence,3,0
TSK000028,7aa52bdc-9c56-4341-be65-e8e30f64403f,monitor automated machines,skill/competence,2,0
TSK000029,2522a6ce-3202-4ac8-9f5b-b9cb5a3a83a1,debug software,skill/competence,1,0
TSK000029,172020d1-e151-445b-8173-e2a5fb16fe51,utilise computer-aided software engineering tools,skill/competence,2,1
TSK000029,07e51c60-763a-4335-b4ec-70a15f66d328,propose ICT solutions to business problems,skill/competence,2,0
TSK000030,4fabca9a-7435-4f33-b1da-3cdb00340fdc,perform scientific research,skill/competence,2,0
TSK000030,04fe962b-4017-4eb7-9139-7d69b6922bc9,use an application-specific interface,skill/competence,2,0
TSK000030,925463a7-d51f-4d5b-9f79-4d28cf30acde,integrated development environment software,knowledge,2,0
TSK000030,59ea80e1-463a-4dba-82c6-d0b6d577d532,technical drawings,knowledge,3,1
TSK000030,0ccdfe98-f845-4598-84a1-3dca66e9d9a3,Ruby (computer programming),knowledge,2,0
TSK000030,8369c2d6-c100-4cf6-bd83-9668d8678433,utilise machine learning,skill/competence,3,1
TSK000030,6b3afb82-c4ea-4f14-be54-a757fb762663,Vagrant,knowledge,2,0
TSK000030,e5b5053e-0ef6-4c4e-a3f2-42f955f4322c,implement a firewall,skill/competence,2,0
TSK000030,e7b05688-c191-4c34-b8ba-9cdcb8d805ad,develop electricity distribution schedule,skill/competence,3,1
TSK000031,4fabca9a-7435-4f33-b1da-3cdb00340fdc,perform scientific research,skill/competence,5,1
TSK000031,c544a9f3-5945-4b54-afed-de0697852817,report analysis results,skill/competence,3,0
TSK000031,da930e2f-6047-4616-a598-bba8ecef3039,manage open publications,skill/competence,4,0
TSK000031,2daec0e6-f0c1-43e8-8178-aedba99130ec,establish data processes,skill/competence,5,1
TSK000031,c3e36d05-8ae8-447f-bb2b-6f9409f85389,deliver visual presentation of data,skill/competence,5,1
TSK000031,3f4dab51-572b-4e2c-85ef-3b4c3f7094e1,XQuery,knowledge,2,0
TSK000031,9e84a506-df06-4be3-874a-fa01293e3dd5,business processes,knowledge,5,1
TSK000031,b9f16465-56a9-426b-a047-0f9f1f95ec92,address problems critically,skill/competence,5,1
TSK000031,9cf681c7-89ec-470c-b651-7fe03786f586,query languages,knowledge,5,1
TSK000031,8770350e-746f-4adb-9556-18ca68104be6,market research,knowledge,5,1
TSK000032,03ff0d53-573a-47a0-a0ad-1995815a4339,information structure,knowledge,5,1
TSK000032,1b70a55d-b8a4-49fc-96c6-15ab4cff2522,use data processing techniques,skill/competence,5,1
TSK000032,93aaf65c-5aad-4e6f-a7ba-ce9bf7c0e6e6,information categorisation,knowledge,3,0
TSK000032,46ec0033-3c71-415e-bcff-b065675ba2dc,integrate ICT data,skill/competence,5,1
TSK000032,7ee4c2ea-b349-4bd2-81a3-ec31475d4833,statistics,knowledge,3,0
TSK000032,ce5b1446-b5e3-4f05-a5ac-83f2ee142a44,analyse external factors of companies,skill/competence,5,1
TSK000033,56042303-972b-41be-9310-58467599ff7e,analyse business processes,skill/competence,5,1
TSK000033,98301d4a-2cc3-439d-8d7f-0b6ac76302bb,business process modelling,knowledge,4,0
TSK000033,43ae58b9-5e56-4524-b45a-b422777a0576,database,knowledge,4,0
TSK000034,31c69100-b612-4a61-8db5-fd314318854c,execute analytical mathematical calculations,skill/competence,5,1
TSK000034,327d15c8-29ff-4ad4-a4fe-6536d777a45f,documentation types,knowledge,5,1
TSK000034,fecf8a0d-62c4-4e71-9b03-0f4fc2ad7bf5,data models,knowledge,5,1
TSK000034,4a193795-fa63-414e-9f2e-bfdb3924571e,handle data samples,skill/competence,5,1
TSK000034,9cf681c7-89ec-470c-b651-7fe03786f586,query languages,knowledge,5,1
TSK000034,c5e8abde-d2ba-4e8e-a65e-720b71180666,unstructured data,knowledge,5,1
TSK000034,4463a721-69f3-413d-8321-43e3af13a4f1,use databases,skill/competence,5,1
TSK000034,2daec0e6-f0c1-43e8-8178-aedba99130ec,establish data processes,skill/competence,3,0
TSK000034,146eccdc-c52a-4d61-9406-3af617caa7d6,forecast sales over periods of time,skill/competence,4,0
TSK000034,c0326e27-5fa8-4dca-aecb-ed89ab491513,prepare visual data,skill/competence,4,0
TSK000035,d9e5349e-8791-49c2-8ba4-839fdd1606c2,define technical requirements,skill/competence,3,0
TSK000035,906323f4-00c4-4c3b-ab5a-8af77be3456e,create data sets,skill/competence,5,1
TSK000035,629685b8-5f9e-4522-8cff-b3e2c4ec625a,digital data processing,,3,0
TSK000035,d56fc2b5-4b0a-4e7e-9bde-a33736f6ff18,Scratch (computer programming),knowledge,5,1
TSK000035,b633eb55-8f1f-4ae6-ab4c-2022ffe2cb7f,C++,knowledge,5,1
TSK000035,51586df8-1c46-4b47-8583-773cb63bf00b,R,knowledge,3,0
TSK000036,4463a721-69f3-413d-8321-43e3af13a4f1,use databases,skill/competence,5,1
TSK000036,d9e5349e-8791-49c2-8ba4-839fdd1606c2,define technical requirements,skill/competence,3,0
TSK000036,98301d4a-2cc3-439d-8d7f-0b6ac76302bb,business process modelling,knowledge,3,0
TSK000036,fda917eb-0d6a-4371-8c93-2a10bf950966,manage ICT semantic integration,skill/competence,5,1
TSK000036,51586df8-1c46-4b47-8583-773cb63bf00b,R,knowledge,3,0
TSK000036,3a5231a0-8c30-48ee-b671-08e2debd4441,organisational policies,knowledge,5,1
TSK000037,979cf728-896f-4f2c-8fa8-2698ca0d4930,publish academic research,skill/competence,2,0
TSK000037,cc61f9e5-d4fc-470e-8606-1ce865ff8386,develop professional network with researchers and scientists,skill/competence,5,1
TSK000037,6360a934-cc87-4954-9656-b32db20592e3,quantitative analysis,knowledge,5,1
TSK000037,edebd83d-35f6-4ed5-a940-6c203d178c01,data science,knowledge,5,1
TSK000037,9cf681c7-89ec-470c-b651-7fe03786f586,query languages,knowledge,3,0
TSK000037,cd50d616-1f8b-481e-983f-68d2674ff82d,integrate gender dimension in research,skill/competence,5,1
TSK000037,1b70a55d-b8a4-49fc-96c6-15ab4cff2522,use data processing techniques,skill/competence,4,0
TSK000037,39f67488-cfd3-4370-8d7e-da98163102d9,evaluate research activities,skill/competence,5,1
TSK000037,c544a9f3-5945-4b54-afed-de0697852817,report analysis results,skill/competence,4,0
TSK000037,f049d050-12da-4e40-813a-2b5eb6df6b51,Internet of Things,knowledge,4,0
TSK000038,93aaf65c-5aad-4e6f-a7ba-ce9bf7c0e6e6,information categorisation,knowledge,2,0
TSK000038,1b70a55d-b8a4-49fc-96c6-15ab4cff2522,use data processing techniques,skill/competence,5,1
TSK000038,edebd83d-35f6-4ed5-a940-6c203d178c01,data science,knowledge,4,1
TSK000038,696e3b5b-8b61-45af-ae4c-3ab700f197ec,information extraction,knowledge,2,0
TSK000038,98301d4a-2cc3-439d-8d7f-0b6ac76302bb,business process modelling,knowledge,5,1
TSK000038,553ad092-b799-44c9-a94c-65a84fdc7526,identify processes for re-engineering,skill/competence,5,1
TSK000038,52cf3037-ab53-4806-85ed-7fd21ea7f6a1,Groovy,knowledge,3,0
TSK000038,728ad40d-4a79-4b4d-b77b-a48d094d73fa,evaluate training,skill/competence,5,1
TSK000039,d9e5349e-8791-49c2-8ba4-839fdd1606c2,define technical requirements,skill/competence,5,1
TSK000039,9ef0f3a0-9ce2-4ef1-a987-0366b5cb2dbe,database development tools,knowledge,3,0
TSK000039,7482a123-e801-48de-9733-262125671410,task algorithmisation,knowledge,3,0
TSK000039,cb89a5c0-b5cb-4c62-8e7e-7714631b66b5,create semantic trees,skill/competence,5,1
TSK000039,696e3b5b-8b61-45af-ae4c-3ab700f197ec,information extraction,knowledge,5,1
TSK000039,4463a721-69f3-413d-8321-43e3af13a4f1,use databases,skill/competence,3,0
TSK000039,3cd569a2-4f88-4c1e-9995-8dce8c5e51a7,JavaScript,knowledge,3,0
TSK000039,75f839c2-fd9a-4ad3-8921-6e734608568d,use query languages,skill/competence,5,1
TSK000040,fbafa41f-cd05-4109-a649-8b44d306d779,create data models,skill/competence,3,0
TSK000040,d9e5349e-8791-49c2-8ba4-839fdd1606c2,define technical requirements,skill/competence,5,1
TSK000040,04fe962b-4017-4eb7-9139-7d69b6922bc9,use an application-specific interface,skill/competence,3,0
TSK000040,2857540c-180b-4208-9127-e94a01871966,align software with system architectures,skill/competence,5,1
TSK000040,98301d4a-2cc3-439d-8d7f-0b6ac76302bb,business process modelling,knowledge,2,0
TSK000040,300d432b-f457-4cd3-9cb1-1858c7d14954,OpenEdge Advanced Business Language,knowledge,5,1
TSK000040,fae27053-8924-4bfd-b565-c9fe502044c9,system design,knowledge,5,1
TSK000040,6a536b36-c5c7-4d10-bf67-a4fb0f8549b2,audit techniques,knowledge,3,0
TSK000041,d3286405-49f8-4e8a-8046-a4376b4e7963,manage cloud data and storage,skill/competence,5,1
TSK000041,bd14968e-e409-45af-b362-3495ed7b10e0,cloud technologies,knowledge,3,0
TSK000041,b105ec9b-0857-41d6-8d07-a83e58b73d90,ICT system programming,knowledge,5,1
TSK000041,cbe2c304-1e7d-489a-97d9-a7d3e37a9db6,apply ICT systems theory,skill/competence,5,1
TSK000041,ce8ae6ca-61d8-4174-b457-641de96cbff4,automate cloud tasks,skill/competence,3,0
TSK000041,11430d93-c835-48ed-8e70-285fa69c9ae6,design cloud architecture,skill/competence,4,0
TSK000041,5d05068e-7ae7-4ff6-8fa3-e35ea03b48b1,check quality of products on the production line,skill/competence,5,1
TSK000041,5d34adde-0b78-42b4-9d3d-69e9388d8398,oversee quality control,skill/competence,4,0
TSK000042,eb3aa8c1-fb14-47b4-a352-b7975abd2480,replicate customer software issues,skill/competence,2,0
TSK000042,913e7e83-b8f8-4574-b1ca-1b38f3fd974a,execute software tests,skill/competence,4,1
TSK000042,561c2525-5bd8-4d86-8f45-820f4be7db93,report test findings,skill/competence,4,1
TSK000042,b9f16465-56a9-426b-a047-0f9f1f95ec92,address problems critically,skill/competence,5,1
TSK000042,85f46538-ae70-498a-bfbc-b8ddafe96c7d,levels of software testing,knowledge,2,0
TSK000042,c55caed2-de9e-4a25-819e-a0b0e83fba1b,give live presentation,skill/competence,4,1
TSK000042,99207709-d076-4cce-ba38-e90d3bb28806,resource description framework query language,knowledge,4,1
TSK000042,1b7c716e-af95-4cda-a42f-6479c8b139f5,MDX,knowledge,1,0
TSK000042,3f4dab51-572b-4e2c-85ef-3b4c3f7094e1,XQuery,knowledge,3,0
TSK000042,09f2f811-a3fb-4de3-a70f-6420a6935575,systems development life-cycle,knowledge,5,1
TSK000043,78a74fd1-efc6-49dc-adb1-1b0fbe35c22c,provide software testing documentation,skill/competence,5,1
TSK000043,cdd8b6b2-2fd9-453c-8d62-8a1dc6efcd49,systems theory,knowledge,5,1
TSK000043,ce354460-500e-4eaa-8e95-8f243fcea3db,manage system testing,skill/competence,3,0
TSK000043,85f46538-ae70-498a-bfbc-b8ddafe96c7d,levels of software testing,knowledge,5,1
TSK000043,b9f16465-56a9-426b-a047-0f9f1f95ec92,address problems critically,skill/competence,3,0
TSK000043,561c2525-5bd8-4d86-8f45-820f4be7db93,report test findings,skill/competence,3,0
TSK000043,438ff259-d086-4004-acda-1ec3e1631bc6,software anomalies,knowledge,2,0
