skill_id,esco_concept_uri,skill_name,skill_type,reuse_level
03ff0d53-573a-47a0-a0ad-1995815a4339,http://data.europa.eu/esco/skill/03ff0d53-573a-47a0-a0ad-1995815a4339,information structure,knowledge,sector-specific
0435fe96-523f-4888-a76f-22df1e92d9c4,http://data.europa.eu/esco/skill/0435fe96-523f-4888-a76f-22df1e92d9c4,photogrammetry,knowledge,cross-sector
0458f6a0-cb54-4ff5-a543-b2c5354e17c0,http://data.europa.eu/esco/skill/0458f6a0-cb54-4ff5-a543-b2c5354e17c0,keep up with digital transformation of industrial processes,skill/competence,sector-specific
047fcf0a-2936-49fb-b4eb-97cdd8d09d0b,http://data.europa.eu/esco/skill/047fcf0a-2936-49fb-b4eb-97cdd8d09d0b,maintain statutory books,skill/competence,cross-sector
04f1b938-d4d4-4cb1-a863-982af76b9d93,http://data.europa.eu/esco/skill/04f1b938-d4d4-4cb1-a863-982af76b9d93,SAS language,knowledge,sector-specific
04fe962b-4017-4eb7-9139-7d69b6922bc9,http://data.europa.eu/esco/skill/04fe962b-4017-4eb7-9139-7d69b6922bc9,use an application-specific interface,skill/competence,sector-specific
05281013-f5ae-4bf2-ad23-d5d6f7573b46,http://data.europa.eu/esco/skill/05281013-f5ae-4bf2-ad23-d5d6f7573b46,carry out inventory planning,skill/competence,sector-specific
054f26ab-cfdc-4077-883c-1c4c9e9b310a,http://data.europa.eu/esco/skill/054f26ab-cfdc-4077-883c-1c4c9e9b310a,define firewall rules,skill/competence,sector-specific
05bd9f18-370a-4a88-98c7-473cffb7b2ca,http://data.europa.eu/esco/skill/05bd9f18-370a-4a88-98c7-473cffb7b2ca,produce materials for decision making,skill/competence,sector-specific
05e5e14f-ffa6-4106-b311-c6335ccc2bd2,http://data.europa.eu/esco/skill/05e5e14f-ffa6-4106-b311-c6335ccc2bd2,solar energy,knowledge,cross-sector
05fc6f8d-639c-4329-a6de-dfdd800ed091,http://data.europa.eu/esco/skill/05fc6f8d-639c-4329-a6de-dfdd800ed091,customer insight,knowledge,sector-specific
062320e5-79d1-45e8-8b7e-5deeb53279a2,http://data.europa.eu/esco/skill/062320e5-79d1-45e8-8b7e-5deeb53279a2,perform online data analysis,skill/competence,cross-sector
06358891-8424-43c5-891e-d40f226bef40,http://data.europa.eu/esco/skill/06358891-8424-43c5-891e-d40f226bef40,manage IT security compliances,skill/competence,sector-specific
06a4004d-ee47-44ff-ae2f-a038ba0c0256,http://data.europa.eu/esco/skill/06a4004d-ee47-44ff-ae2f-a038ba0c0256,perform a feasibility study on mini wind power,skill/competence,sector-specific
06e347f2-2504-4ee8-b7f7-8d9542f56207,http://data.europa.eu/esco/skill/06e347f2-2504-4ee8-b7f7-8d9542f56207,translate keywords into full texts,skill/competence,cross-sector
06f33d6a-f7a7-4a2b-baa5-8c3c53bd1a9c,http://data.europa.eu/esco/skill/06f33d6a-f7a7-4a2b-baa5-8c3c53bd1a9c,keywords in digital content,knowledge,sector-specific
06f46a6e-62d3-4ca0-bedb-cb4c021c14ee,http://data.europa.eu/esco/skill/06f46a6e-62d3-4ca0-bedb-cb4c021c14ee,legal studies,knowledge,sector-specific
071233c4-ad2b-4f50-b79f-768d2231163e,http://data.europa.eu/esco/skill/071233c4-ad2b-4f50-b79f-768d2231163e,domain name service,knowledge,sector-specific
071c7f1d-f659-4b96-a222-b21012297f3b,http://data.europa.eu/esco/skill/071c7f1d-f659-4b96-a222-b21012297f3b,energy market,knowledge,cross-sector
0737ad0a-75ac-4696-988b-565820577ac0,http://data.europa.eu/esco/skill/0737ad0a-75ac-4696-988b-565820577ac0,use experience map,skill/competence,sector-specific
075c68d7-efe4-4466-be4a-9acc726504df,http://data.europa.eu/esco/skill/075c68d7-efe4-4466-be4a-9acc726504df,mergers and acquisitions,knowledge,cross-sector
0760bfac-9a03-427a-ad84-ccd33a2f2ae8,http://data.europa.eu/esco/skill/0760bfac-9a03-427a-ad84-ccd33a2f2ae8,mathematical modelling,knowledge,cross-sector
0761f325-13e7-49f4-a41a-ec64ba4e7b9d,http://data.europa.eu/esco/skill/0761f325-13e7-49f4-a41a-ec64ba4e7b9d,manage government-funded programmes,skill/competence,cross-sector
078098e1-01f7-4654-9ddd-016f4063b54d,http://data.europa.eu/esco/skill/078098e1-01f7-4654-9ddd-016f4063b54d,cooperate with education professionals,skill/competence,cross-sector
07884056-a07a-40b7-bba3-1ceed61f529c,http://data.europa.eu/esco/skill/07884056-a07a-40b7-bba3-1ceed61f529c,blockchain signature schemes,knowledge,sector-specific
07889c08-7220-47c8-96f7-6068fbea00dc,http://data.europa.eu/esco/skill/07889c08-7220-47c8-96f7-6068fbea00dc,normalise data,skill/competence,sector-specific
07dd856d-6141-48a7-a228-918f88494812,http://data.europa.eu/esco/skill/07dd856d-6141-48a7-a228-918f88494812,create prototype of user experience solutions,skill/competence,sector-specific
07e1799a-82c2-4877-9b43-1499812c5619,http://data.europa.eu/esco/skill/07e1799a-82c2-4877-9b43-1499812c5619,wear cleanroom suit,skill/competence,cross-sector
07e47d58-dd0e-4302-9e68-70a188e89065,http://data.europa.eu/esco/skill/07e47d58-dd0e-4302-9e68-70a188e89065,apply system organisational policies,skill/competence,cross-sector
07e51c60-763a-4335-b4ec-70a15f66d328,http://data.europa.eu/esco/skill/07e51c60-763a-4335-b4ec-70a15f66d328,propose ICT solutions to business problems,skill/competence,cross-sector
07e6bc9f-9c98-44ae-a7a3-5266caa393e1,http://data.europa.eu/esco/skill/07e6bc9f-9c98-44ae-a7a3-5266caa393e1,calculate costs of repair operations,skill/competence,sector-specific
07ebc888-0f3f-46e7-99d2-a7c7ebd7ffe3,http://data.europa.eu/esco/skill/07ebc888-0f3f-46e7-99d2-a7c7ebd7ffe3,property management software,knowledge,sector-specific
080b0153-36ae-43f6-b3c3-c1fe6fd8f1de,http://data.europa.eu/esco/skill/080b0153-36ae-43f6-b3c3-c1fe6fd8f1de,plan procedures for cargo operations,skill/competence,sector-specific
0823ccef-813f-4f22-afef-ac0d68615e8f,http://data.europa.eu/esco/skill/0823ccef-813f-4f22-afef-ac0d68615e8f,computer simulation,knowledge,cross-sector
082967d4-b94c-4305-aa13-35a6aa8c5c7c,http://data.europa.eu/esco/skill/082967d4-b94c-4305-aa13-35a6aa8c5c7c,cooperate with colleagues,skill/competence,cross-sector
08371fe9-c658-4f6a-966f-71dbb0ab683d,http://data.europa.eu/esco/skill/08371fe9-c658-4f6a-966f-71dbb0ab683d,accounting department processes,knowledge,sector-specific
0839eea4-c57b-4c14-b19b-923fbedb5d88,http://data.europa.eu/esco/skill/0839eea4-c57b-4c14-b19b-923fbedb5d88,perform business research,skill/competence,sector-specific
085bfce5-70fe-43da-9499-307725e89bbc,http://data.europa.eu/esco/skill/085bfce5-70fe-43da-9499-307725e89bbc,WizIQ,knowledge,sector-specific
0868eef3-2213-4572-9343-74931345a7d3,http://data.europa.eu/esco/skill/0868eef3-2213-4572-9343-74931345a7d3,administer ICT system,skill/competence,sector-specific
089bab26-a854-40fb-8c04-5be4f693315a,http://data.europa.eu/esco/skill/089bab26-a854-40fb-8c04-5be4f693315a,integrate strategic foundation in daily performance,skill/competence,cross-sector
089ddb19-1c7a-43ff-ba64-070f7ce4787a,http://data.europa.eu/esco/skill/089ddb19-1c7a-43ff-ba64-070f7ce4787a,warehouse operations,knowledge,sector-specific
089ee650-297e-4716-87d1-440743b70a0d,http://data.europa.eu/esco/skill/089ee650-297e-4716-87d1-440743b70a0d,ensure compliance with environmental legislation,skill/competence,cross-sector
08a3dcea-12de-447b-a3a5-aa657abc5e97,http://data.europa.eu/esco/skill/08a3dcea-12de-447b-a3a5-aa657abc5e97,execute social engineering tests,skill/competence,sector-specific
08b04e53-ed25-41a2-9f90-0b9cd939ba3d,http://data.europa.eu/esco/skill/08b04e53-ed25-41a2-9f90-0b9cd939ba3d,manage research data,skill/competence,cross-sector
08ee68b2-0a6d-4bdf-a870-a36c0dc8064e,http://data.europa.eu/esco/skill/08ee68b2-0a6d-4bdf-a870-a36c0dc8064e,produce statistical financial records,skill/competence,cross-sector
08f0af26-2178-40d2-9267-6d50a7346555,http://data.europa.eu/esco/skill/08f0af26-2178-40d2-9267-6d50a7346555,combine business technology with user experience,skill/competence,sector-specific
08fd2839-670c-4f16-8024-97437f2035ab,http://data.europa.eu/esco/skill/08fd2839-670c-4f16-8024-97437f2035ab,plan marketing strategy,skill/competence,cross-sector
08fe5910-8c4c-4679-a988-eb2ded3c4909,http://data.europa.eu/esco/skill/08fe5910-8c4c-4679-a988-eb2ded3c4909,labour legislation,knowledge,cross-sector
09473fea-69ea-40dc-9ff4-bbaaff10840e,http://data.europa.eu/esco/skill/09473fea-69ea-40dc-9ff4-bbaaff10840e,conduct engineering site audits,skill/competence,cross-sector
0957a353-b163-4887-96f6-ce79abc5b4e1,http://data.europa.eu/esco/skill/0957a353-b163-4887-96f6-ce79abc5b4e1,provide legal advice on investments,skill/competence,cross-sector
095fdace-1cc3-4e80-b37b-268fe297904a,http://data.europa.eu/esco/skill/095fdace-1cc3-4e80-b37b-268fe297904a,prepare audit activities,skill/competence,cross-sector
097c6a36-f031-4d3e-b5c1-62d6ffcb430b,http://data.europa.eu/esco/skill/097c6a36-f031-4d3e-b5c1-62d6ffcb430b,respect data protection principles,skill/competence,sector-specific
09cf2c34-6f93-4a19-a9f1-c0d866414bcc,http://data.europa.eu/esco/skill/09cf2c34-6f93-4a19-a9f1-c0d866414bcc,Cain and Abel (penetration testing tool),knowledge,sector-specific
09f2f811-a3fb-4de3-a70f-6420a6935575,http://data.europa.eu/esco/skill/09f2f811-a3fb-4de3-a70f-6420a6935575,systems development life-cycle,knowledge,cross-sector
0a099c81-6a0c-4f00-bb3b-990d23ec03a5,http://data.europa.eu/esco/skill/0a099c81-6a0c-4f00-bb3b-990d23ec03a5,manage ICT change request process,skill/competence,sector-specific
0a30a7df-750a-4df3-9a70-f537c5d14277,http://data.europa.eu/esco/skill/0a30a7df-750a-4df3-9a70-f537c5d14277,oversee warehouse value-added activities,skill/competence,sector-specific
0a30e5a8-60a8-4fda-9f89-8e9cee38da5a,http://data.europa.eu/esco/skill/0a30e5a8-60a8-4fda-9f89-8e9cee38da5a,use interface description language,skill/competence,occupation-specific
0a43729f-2a79-4dae-9faa-95520daae79f,http://data.europa.eu/esco/skill/0a43729f-2a79-4dae-9faa-95520daae79f,apply company policies,skill/competence,cross-sector
0a48d064-dd04-47fb-a00d-85e9b4874033,http://data.europa.eu/esco/skill/0a48d064-dd04-47fb-a00d-85e9b4874033,business management principles,knowledge,cross-sector
0a52bed5-fd29-45fb-aba6-e32bccfda1c1,http://data.europa.eu/esco/skill/0a52bed5-fd29-45fb-aba6-e32bccfda1c1,plan migration to cloud,skill/competence,sector-specific
0a53f6b2-9205-4505-93fb-480e163cdc2f,http://data.europa.eu/esco/skill/0a53f6b2-9205-4505-93fb-480e163cdc2f,calculate insurance rate,skill/competence,sector-specific
0a856d55-23b5-4bdc-ad24-3eb5bc83d81f,http://data.europa.eu/esco/skill/0a856d55-23b5-4bdc-ad24-3eb5bc83d81f,implement route planning in smart mobility services,skill/competence,sector-specific
0a9acb6b-1139-4be9-b431-3a80a959f2f4,http://data.europa.eu/esco/skill/0a9acb6b-1139-4be9-b431-3a80a959f2f4,Agile project management,knowledge,sector-specific
0aa02c52-077d-45f8-8c2d-7132c11ac16e,http://data.europa.eu/esco/skill/0aa02c52-077d-45f8-8c2d-7132c11ac16e,carry out strategic research,skill/competence,cross-sector
0aa38c07-644b-4f81-8014-924ea3cc8dc5,http://data.europa.eu/esco/skill/0aa38c07-644b-4f81-8014-924ea3cc8dc5,pharmaceutical legislation,knowledge,cross-sector
0ab03c6c-281b-48f4-83e0-10eeb27a1bae,http://data.europa.eu/esco/skill/0ab03c6c-281b-48f4-83e0-10eeb27a1bae,network management system tools,knowledge,sector-specific
0ab07923-f350-4a3c-bbea-3017d756c409,http://data.europa.eu/esco/skill/0ab07923-f350-4a3c-bbea-3017d756c409,communicate regulations,skill/competence,cross-sector
0ae55852-562d-4fc9-be5e-d99f54e91b24,http://data.europa.eu/esco/skill/0ae55852-562d-4fc9-be5e-d99f54e91b24,prepare sales checks,skill/competence,sector-specific
0af062de-eb43-41e9-9b96-249e2cd22d26,http://data.europa.eu/esco/skill/0af062de-eb43-41e9-9b96-249e2cd22d26,use markup languages,skill/competence,sector-specific
0af529ff-a95d-419b-ab2a-335f6894a966,http://data.europa.eu/esco/skill/0af529ff-a95d-419b-ab2a-335f6894a966,maintain logistics databases,skill/competence,cross-sector
0b0335f3-0aa1-491e-895e-81fc8774a300,http://data.europa.eu/esco/skill/0b0335f3-0aa1-491e-895e-81fc8774a300,develop automated migration methods,skill/competence,sector-specific
0b144726-21c2-46ed-8d13-c03d27f61604,http://data.europa.eu/esco/skill/0b144726-21c2-46ed-8d13-c03d27f61604,perform multiple tasks at the same time,skill/competence,cross-sector
0b82924b-6741-4d58-b38d-16731cb14f53,http://data.europa.eu/esco/skill/0b82924b-6741-4d58-b38d-16731cb14f53,provide objective assessments of calls,skill/competence,cross-sector
0bd4c62a-c309-467e-be76-8403b3f3a1a8,http://data.europa.eu/esco/skill/0bd4c62a-c309-467e-be76-8403b3f3a1a8,financial products,knowledge,cross-sector
0c0488b3-fca5-4deb-865b-8dc605c3d909,http://data.europa.eu/esco/skill/0c0488b3-fca5-4deb-865b-8dc605c3d909,sales argumentation,knowledge,sector-specific
0c0a8629-97b7-412f-ad91-be97d80205af,http://data.europa.eu/esco/skill/0c0a8629-97b7-412f-ad91-be97d80205af,perform pre-assembly quality checks,skill/competence,cross-sector
0c1bbbd7-7827-4594-9254-a4b91cb8163f,http://data.europa.eu/esco/skill/0c1bbbd7-7827-4594-9254-a4b91cb8163f,conduct financial surveys,skill/competence,sector-specific
0c766ca3-9364-4203-916b-fed16e4814c1,http://data.europa.eu/esco/skill/0c766ca3-9364-4203-916b-fed16e4814c1,gather data for forensic purposes,skill/competence,sector-specific
0c77bcd5-b94a-475d-98e9-5a4327e4d726,http://data.europa.eu/esco/skill/0c77bcd5-b94a-475d-98e9-5a4327e4d726,statistical process control,knowledge,cross-sector
0c9da986-721e-4f75-b566-0c6c212a8f60,http://data.europa.eu/esco/skill/0c9da986-721e-4f75-b566-0c6c212a8f60,make investment decisions,skill/competence,cross-sector
0cc02ab5-da14-4fd4-963d-192fe71d3225,http://data.europa.eu/esco/skill/0cc02ab5-da14-4fd4-963d-192fe71d3225,assess integrated domotics systems,skill/competence,sector-specific
0cc9c234-f817-4f4c-908a-4d28fe3b0f4a,http://data.europa.eu/esco/skill/0cc9c234-f817-4f4c-908a-4d28fe3b0f4a,coach employees,skill/competence,cross-sector
0ccdfe98-f845-4598-84a1-3dca66e9d9a3,http://data.europa.eu/esco/skill/0ccdfe98-f845-4598-84a1-3dca66e9d9a3,Ruby (computer programming),knowledge,sector-specific
0cd07ad3-642c-4073-812f-3842dffcd920,http://data.europa.eu/esco/skill/0cd07ad3-642c-4073-812f-3842dffcd920,procedural law,knowledge,occupation-specific
0cd6dcf1-5778-42a5-b685-4d01ae4a4871,http://data.europa.eu/esco/skill/0cd6dcf1-5778-42a5-b685-4d01ae4a4871,Common Lisp,knowledge,sector-specific
0cd8d49e-fcb2-4095-a946-1179516e4a0b,http://data.europa.eu/esco/skill/0cd8d49e-fcb2-4095-a946-1179516e4a0b,develop communication networks with shipping sites,skill/competence,sector-specific
0cf27a00-947f-473d-af1a-24028c17ba27,http://data.europa.eu/esco/skill/0cf27a00-947f-473d-af1a-24028c17ba27,international regulations for cargo handling,knowledge,cross-sector
0d07fb7e-2815-454c-83e2-9c736c23435c,http://data.europa.eu/esco/skill/0d07fb7e-2815-454c-83e2-9c736c23435c,coordinate dock operations,skill/competence,sector-specific
0d11711b-870f-4701-be93-fa175b6e4002,http://data.europa.eu/esco/skill/0d11711b-870f-4701-be93-fa175b6e4002,persuade clients with alternatives,skill/competence,cross-sector
0d168770-4d9c-4096-b048-a6577818d306,http://data.europa.eu/esco/skill/0d168770-4d9c-4096-b048-a6577818d306,Apache Maven,knowledge,sector-specific
0d282d6e-8cb9-4339-8e7d-cfafed96b5ed,http://data.europa.eu/esco/skill/0d282d6e-8cb9-4339-8e7d-cfafed96b5ed,conduct literature research,skill/competence,cross-sector
0d4471ae-3820-4c23-8566-f44a7bd159b2,http://data.europa.eu/esco/skill/0d4471ae-3820-4c23-8566-f44a7bd159b2,prepare licence agreements,skill/competence,cross-sector
0d564cb6-98ef-4c18-9392-dd69e6724cbf,http://data.europa.eu/esco/skill/0d564cb6-98ef-4c18-9392-dd69e6724cbf,risk transfer,knowledge,cross-sector
0d6714c6-720e-4985-9791-5ab85d28da79,http://data.europa.eu/esco/skill/0d6714c6-720e-4985-9791-5ab85d28da79,gather data,skill/competence,cross-sector
0d7f2cce-245a-4d02-9b8d-2e9946cc4c5d,http://data.europa.eu/esco/skill/0d7f2cce-245a-4d02-9b8d-2e9946cc4c5d,deliver online training,skill/competence,cross-sector
0d85dc6f-ea26-49a9-85b9-532441b000e2,http://data.europa.eu/esco/skill/0d85dc6f-ea26-49a9-85b9-532441b000e2,handle the logistics of medicinal products,skill/competence,sector-specific
0d9a7816-d3e4-4a6c-8fdc-4b4bbe278a85,http://data.europa.eu/esco/skill/0d9a7816-d3e4-4a6c-8fdc-4b4bbe278a85,train staff on call quality assurance,skill/competence,cross-sector
0da516ee-e70e-4384-be13-f5ff80be8127,http://data.europa.eu/esco/skill/0da516ee-e70e-4384-be13-f5ff80be8127,communicate with customers,skill/competence,cross-sector
0da6cab1-0ee9-4391-a299-f71fbf21db56,http://data.europa.eu/esco/skill/0da6cab1-0ee9-4391-a299-f71fbf21db56,ICT network routing,knowledge,sector-specific
0daaf096-1639-461c-bf1a-bbeea77e6b67,http://data.europa.eu/esco/skill/0daaf096-1639-461c-bf1a-bbeea77e6b67,internal risk management policy,knowledge,sector-specific
0dc7aa1b-b5af-4f4b-81ce-ee22ed8b6926,http://data.europa.eu/esco/skill/0dc7aa1b-b5af-4f4b-81ce-ee22ed8b6926,assess ICT knowledge,skill/competence,sector-specific
0dc8813a-cebd-4a42-acc8-9a7c4e6e3663,http://data.europa.eu/esco/skill/0dc8813a-cebd-4a42-acc8-9a7c4e6e3663,test procedures in electricity transmission,skill/competence,cross-sector
0dcbf7c5-bedf-4485-b16b-23df54443864,http://data.europa.eu/esco/skill/0dcbf7c5-bedf-4485-b16b-23df54443864,translate requirement concepts into content,skill/competence,sector-specific
0dd4d328-f015-463d-9a7e-06b7041f0b26,http://data.europa.eu/esco/skill/0dd4d328-f015-463d-9a7e-06b7041f0b26,consumer goods industry,knowledge,cross-sector
0de61385-de6d-4146-ba32-1cc1bc102220,http://data.europa.eu/esco/skill/0de61385-de6d-4146-ba32-1cc1bc102220,Lisp,knowledge,sector-specific
0e0c9c11-b39e-43cf-ba95-2fe646f5de64,http://data.europa.eu/esco/skill/0e0c9c11-b39e-43cf-ba95-2fe646f5de64,identify customer requirements,skill/competence,cross-sector
0e161427-3369-47c0-8669-9e226207f6d0,http://data.europa.eu/esco/skill/0e161427-3369-47c0-8669-9e226207f6d0,discern written communication,skill/competence,sector-specific
0e1fe34b-f4e7-4642-8c8b-5a05ac3438e5,http://data.europa.eu/esco/skill/0e1fe34b-f4e7-4642-8c8b-5a05ac3438e5,manage schedule of tasks,skill/competence,cross-sector
0e361e34-c563-4892-b9d3-873a6a4fef8a,http://data.europa.eu/esco/skill/0e361e34-c563-4892-b9d3-873a6a4fef8a,digital game genres,knowledge,sector-specific
0e44ceb3-9dd4-4ec4-b1d7-a0e83ddba7d4,http://data.europa.eu/esco/skill/0e44ceb3-9dd4-4ec4-b1d7-a0e83ddba7d4,automotive engineering,skill/competence,cross-sector
0e54cc0e-6cef-41ec-bd8c-e8e8778969ec,http://data.europa.eu/esco/skill/0e54cc0e-6cef-41ec-bd8c-e8e8778969ec,relationship marketing,knowledge,cross-sector
0e5affa0-705e-4b19-94e8-19e902e0287d,http://data.europa.eu/esco/skill/0e5affa0-705e-4b19-94e8-19e902e0287d,analyse decentralised applications,skill/competence,cross-sector
0e8d16c9-e2db-4862-ac06-1567f01ef806,http://data.europa.eu/esco/skill/0e8d16c9-e2db-4862-ac06-1567f01ef806,building systems monitoring technology,knowledge,sector-specific
0eb05180-6927-4c35-b898-176e00d0488c,http://data.europa.eu/esco/skill/0eb05180-6927-4c35-b898-176e00d0488c,sell services,skill/competence,cross-sector
0edaab25-1b72-4531-950d-d8b9a9f4a1c8,http://data.europa.eu/esco/skill/0edaab25-1b72-4531-950d-d8b9a9f4a1c8,treasury management system,knowledge,sector-specific
0ee7b0d6-db98-4785-9948-f2ef415d155a,http://data.europa.eu/esco/skill/0ee7b0d6-db98-4785-9948-f2ef415d155a,write research proposals,skill/competence,cross-sector
0ee94af1-b445-4973-9c3f-459fab250342,http://data.europa.eu/esco/skill/0ee94af1-b445-4973-9c3f-459fab250342,apply conflict management,skill/competence,cross-sector
0ee94c0a-3716-494a-95a2-dcbab9e58be2,http://data.europa.eu/esco/skill/0ee94c0a-3716-494a-95a2-dcbab9e58be2,business requirements techniques,knowledge,sector-specific
0efbe2dc-2770-47ec-b8f4-d1bdff6ac0a4,http://data.europa.eu/esco/skill/0efbe2dc-2770-47ec-b8f4-d1bdff6ac0a4,advise on risk management,skill/competence,cross-sector
0efd5409-0b0a-4dea-8d62-6bb960f61cdd,http://data.europa.eu/esco/skill/0efd5409-0b0a-4dea-8d62-6bb960f61cdd,make legal decisions,skill/competence,cross-sector
0f00f63f-3ab4-4057-b92f-500584b51757,http://data.europa.eu/esco/skill/0f00f63f-3ab4-4057-b92f-500584b51757,Informatica PowerCenter,knowledge,sector-specific
0f5bd097-ed76-47f7-8f44-93be67967b5f,http://data.europa.eu/esco/skill/0f5bd097-ed76-47f7-8f44-93be67967b5f,explain financial jargon,skill/competence,sector-specific
0f9958d2-f700-4f62-b90b-a5873cb5ae4c,http://data.europa.eu/esco/skill/0f9958d2-f700-4f62-b90b-a5873cb5ae4c,systems thinking,knowledge,occupation-specific
0f9f8352-0488-4a1e-9171-2c5466c17f41,http://data.europa.eu/esco/skill/0f9f8352-0488-4a1e-9171-2c5466c17f41,analyse unemployment rates,skill/competence,sector-specific
