project_domain,project_type,project_complexity,project_criticality,role_required,team_size_required,estimated_hours,deadline_days,priority,skill_match_pct,critical_skill_match_pct,skill_level_match_pct,experience_match_pct,domain_match,role_match,critical_project_experience,performance_score,current_workload_pct,availability_pct,reliability_score,collaboration_score,project_success,task_start_date
Media,Web Application,Moderate,Low,Software Engineer,8,151.6,25,Medium,50.0,50.0,50.0,100.0,0,1,0,2,4.0,91.08,51.5,64.0,1,2022-01-11
SaaS,Dashboards,Moderate,Low,BI Developer,5,131.0,33,Medium,0.0,0.0,0.0,93.65,0,1,1,2,30.14,75.31,53.1,59.5,0,2022-01-11
SaaS,Dashboards,Moderate,Low,BI Developer,5,131.0,33,Medium,11.11,0.0,11.11,66.67,0,0,1,5,12.35,85.54,68.9,61.1,1,2022-01-11
Media,Web Application,Moderate,Low,Software Engineer,8,151.6,25,Medium,33.33,0.0,33.33,100.0,1,1,4,2,15.16,87.13,36.6,33.0,0,2022-01-11
Media,Web Application,Moderate,Low,Software Engineer,8,151.6,25,Medium,0.0,0.0,0.0,100.0,0,1,10,5,35.38,65.52,66.6,77.1,1,2022-01-11
Media,Web Application,Moderate,Low,Software Engineer,8,151.6,25,Medium,16.67,0.0,16.67,82.15,0,0,0,2,13.85,81.07,32.7,42.6,1,2022-01-11
SaaS,Dashboards,Moderate,Low,BI Developer,5,131.0,33,Medium,22.22,0.0,22.22,100.0,0,0,2,4,28.09,74.57,54.3,64.5,1,2022-01-11
SaaS,Dashboards,Moderate,Low,BI Developer,5,131.0,33,Medium,33.33,0.0,33.33,100.0,1,0,4,5,32.78,69.46,60.1,77.1,1,2022-01-11
Retail,UI/UX,Advanced,Medium,UX Designer,7,213.9,44,High,71.43,0.0,71.43,100.0,0,0,6,4,38.39,72.33,69.0,73.2,0,2022-01-12
Retail,UI/UX,Advanced,Medium,UX Designer,7,213.9,44,High,14.29,0.0,14.29,100.0,0,0,3,5,14.05,82.9,67.2,60.2,0,2022-01-12
Retail,UI/UX,Advanced,Medium,UX Designer,7,213.9,44,High,85.71,100.0,71.43,55.64,1,0,1,3,7.86,82.14,46.2,63.4,1,2022-01-12
Retail,UI/UX,Advanced,Medium,UX Designer,7,213.9,44,High,14.29,0.0,14.29,100.0,1,0,1,3,23.8,79.21,44.8,45.7,0,2022-01-12
Retail,UI/UX,Advanced,Medium,UX Designer,7,213.9,44,High,14.29,0.0,14.29,42.86,0,0,3,4,26.04,76.34,57.9,73.4,0,2022-01-12
Retail,UI/UX,Advanced,Medium,UX Designer,7,213.9,44,High,14.29,0.0,0.0,82.71,0,0,0,1,31.84,70.04,20.0,46.5,0,2022-01-12
Retail,UI/UX,Advanced,Medium,UX Designer,7,213.9,44,High,14.29,0.0,0.0,42.11,1,0,4,2,35.95,70.26,29.5,54.0,0,2022-01-12
Retail,UI/UX,Advanced,Medium,UX Designer,7,213.9,44,High,71.43,0.0,71.43,100.0,0,0,4,2,31.63,65.04,37.3,54.5,1,2022-01-12
Telecom,Data Analytics,Moderate,Low,Data Analyst,4,85.5,21,Medium,14.29,0.0,14.29,100.0,0,1,5,3,28.26,68.08,52.7,56.8,0,2022-01-13
FinTech,Cloud Migration,Critical,Critical,Systems Administrator,4,90.0,20,High,75.0,66.67,25.0,72.78,0,0,3,5,8.61,84.73,82.0,82.6,0,2022-01-13
Telecom,Data Analytics,Moderate,Low,Data Analyst,4,85.5,21,Medium,14.29,0.0,14.29,100.0,0,1,2,4,24.71,74.06,67.6,75.1,0,2022-01-13
Telecom,Data Analytics,Moderate,Low,Data Analyst,4,85.5,21,Medium,71.43,0.0,71.43,100.0,1,1,1,3,19.11,81.62,53.4,68.2,1,2022-01-13
E-commerce,Data Engineering,Basic,Low,Data Engineer,6,78.8,16,Low,50.0,100.0,50.0,100.0,0,1,1,4,21.56,82.38,58.7,60.7,1,2022-01-14
Insurance,Payment Systems,Basic,Medium,Backend Developer,4,117.4,26,High,20.0,50.0,0.0,100.0,0,0,6,1,27.32,72.26,31.3,35.6,0,2022-01-14
Insurance,Database Migration,Moderate,Medium,Solution Architect,9,176.1,46,High,50.0,0.0,50.0,100.0,0,0,3,4,35.03,67.84,66.6,62.3,0,2022-01-14
E-commerce,Data Engineering,Basic,Low,Data Engineer,6,78.8,16,Low,50.0,100.0,50.0,100.0,0,1,1,3,16.3,81.67,39.5,53.2,1,2022-01-14
E-commerce,Data Engineering,Basic,Low,Data Engineer,6,78.8,16,Low,100.0,100.0,100.0,100.0,0,1,2,2,24.7,74.9,40.1,59.2,1,2022-01-14
E-commerce,Data Engineering,Basic,Low,Data Engineer,6,78.8,16,Low,0.0,0.0,0.0,100.0,0,1,4,4,18.72,79.84,57.1,72.8,0,2022-01-14
E-commerce,Data Engineering,Basic,Low,Data Engineer,6,78.8,16,Low,50.0,100.0,50.0,100.0,0,1,0,2,27.35,78.04,34.7,63.4,1,2022-01-14
Insurance,Payment Systems,Basic,Medium,Backend Developer,4,117.4,26,High,80.0,50.0,80.0,100.0,0,1,0,1,9.18,92.89,22.1,45.0,0,2022-01-14
Insurance,Payment Systems,Basic,Medium,Backend Developer,4,117.4,26,High,60.0,0.0,60.0,100.0,0,1,6,1,40.08,63.85,38.2,38.1,0,2022-01-14
Insurance,Payment Systems,Basic,Medium,Backend Developer,4,117.4,26,High,80.0,50.0,80.0,100.0,1,1,4,4,34.82,71.83,70.2,82.5,1,2022-01-14
Insurance,Database Migration,Moderate,Medium,Solution Architect,9,176.1,46,High,33.33,0.0,33.33,100.0,0,0,5,3,47.38,61.29,55.7,50.6,0,2022-01-14
Insurance,Database Migration,Moderate,Medium,Solution Architect,9,176.1,46,High,16.67,0.0,16.67,52.44,0,0,0,3,30.91,77.2,44.7,49.3,0,2022-01-14
Insurance,Payment Systems,Basic,Medium,Backend Developer,4,117.4,26,High,80.0,50.0,60.0,100.0,0,1,6,1,38.01,66.35,23.5,41.0,0,2022-01-14
E-commerce,Data Engineering,Basic,Low,Data Engineer,6,78.8,16,Low,0.0,0.0,0.0,100.0,0,0,3,2,23.59,75.8,32.6,64.1,0,2022-01-14
Insurance,Database Migration,Moderate,Medium,Solution Architect,9,176.1,46,High,16.67,0.0,16.67,100.0,0,0,1,2,29.8,74.51,41.9,59.4,0,2022-01-14
Insurance,Database Migration,Moderate,Medium,Solution Architect,9,176.1,46,High,66.67,100.0,66.67,45.12,0,0,1,4,29.79,72.31,53.4,66.1,1,2022-01-14
Insurance,Database Migration,Moderate,Medium,Solution Architect,9,176.1,46,High,66.67,100.0,66.67,100.0,1,0,6,5,31.63,75.59,87.6,79.6,1,2022-01-14
Insurance,Database Migration,Moderate,Medium,Solution Architect,9,176.1,46,High,33.33,0.0,16.67,100.0,0,0,5,3,37.64,66.36,57.2,55.5,0,2022-01-14
Insurance,Database Migration,Moderate,Medium,Solution Architect,9,176.1,46,High,83.33,100.0,83.33,100.0,0,0,8,3,38.4,74.11,64.2,63.1,1,2022-01-14
Insurance,Database Migration,Moderate,Medium,Solution Architect,9,176.1,46,High,50.0,100.0,50.0,100.0,0,0,0,2,18.74,87.62,50.8,48.7,0,2022-01-14
Retail,Database Migration,Basic,Low,Data Engineer,3,102.7,18,Low,0.0,0.0,0.0,100.0,0,1,2,5,38.01,69.61,78.8,78.3,1,2022-01-14
Retail,Database Migration,Basic,Low,Data Engineer,3,102.7,18,Low,0.0,0.0,0.0,100.0,0,1,7,3,33.7,66.1,51.5,56.3,0,2022-01-14
Retail,Database Migration,Basic,Low,Data Engineer,3,102.7,18,Low,33.33,0.0,33.33,100.0,0,0,0,3,15.16,86.56,47.7,33.3,0,2022-01-14
Telecom,Data Analytics,Moderate,Low,BI Developer,4,74.5,21,Medium,50.0,100.0,25.0,54.35,0,0,1,1,29.42,77.32,20.3,34.7,0,2022-01-15
Telecom,Data Analytics,Moderate,Low,BI Developer,4,74.5,21,Medium,50.0,50.0,50.0,100.0,0,0,0,3,30.16,73.9,44.8,69.8,1,2022-01-15
Telecom,Data Analytics,Moderate,Low,BI Developer,4,74.5,21,Medium,0.0,0.0,0.0,100.0,0,0,2,2,23.23,79.31,45.0,61.7,0,2022-01-15
Retail,Machine Learning,Basic,Low,Data Scientist,7,74.0,17,Medium,71.43,100.0,57.14,100.0,0,1,2,1,27.72,77.79,48.3,54.0,1,2022-01-15
Retail,Machine Learning,Basic,Low,Data Scientist,7,74.0,17,Medium,28.57,50.0,28.57,100.0,0,0,3,1,43.45,69.52,38.0,39.5,0,2022-01-15
Retail,Machine Learning,Basic,Low,Data Scientist,7,74.0,17,Medium,42.86,50.0,42.86,100.0,0,0,0,4,25.3,82.57,67.9,62.8,1,2022-01-15
Retail,Machine Learning,Basic,Low,Data Scientist,7,74.0,17,Medium,42.86,50.0,42.86,100.0,0,0,2,5,15.91,79.81,75.0,81.4,1,2022-01-15
Retail,Machine Learning,Basic,Low,Data Scientist,7,74.0,17,Medium,28.57,50.0,28.57,100.0,0,1,2,4,40.64,70.58,61.6,64.6,1,2022-01-15
Retail,Machine Learning,Basic,Low,Data Scientist,7,74.0,17,Medium,28.57,0.0,28.57,100.0,0,0,0,5,17.96,81.6,75.2,73.1,1,2022-01-15
Telecom,Data Analytics,Moderate,Low,BI Developer,4,74.5,21,Medium,37.5,100.0,37.5,34.16,0,0,1,1,34.1,73.09,31.9,37.5,0,2022-01-15
Telecom,Data Analytics,Moderate,Low,BI Developer,4,74.5,21,Medium,25.0,100.0,25.0,100.0,0,0,6,5,31.84,73.43,71.6,75.8,0,2022-01-15
FinTech,Fraud Detection,Advanced,Low,Data Scientist,6,154.2,38,Medium,30.0,33.33,30.0,100.0,0,1,2,2,40.26,61.6,34.1,50.2,0,2022-01-16
FinTech,Fraud Detection,Advanced,Low,Data Scientist,6,154.2,38,Medium,10.0,0.0,10.0,100.0,0,1,2,3,36.69,63.78,41.6,60.6,0,2022-01-16
Insurance,Database Migration,Moderate,Medium,Solution Architect,5,155.1,35,Urgent,75.0,66.67,50.0,100.0,0,0,2,1,16.1,80.3,30.6,49.7,0,2022-01-16
Insurance,Database Migration,Moderate,Medium,Solution Architect,5,155.1,35,Urgent,62.5,66.67,50.0,72.29,0,0,1,2,19.46,82.08,46.0,56.0,0,2022-01-16
Insurance,Database Migration,Moderate,Medium,Solution Architect,5,155.1,35,Urgent,75.0,66.67,75.0,100.0,0,0,0,5,44.19,61.13,71.0,75.6,1,2022-01-16
Technology,Mobile Application,Basic,Low,Software Engineer,3,51.3,11,Low,20.0,0.0,20.0,100.0,0,0,5,5,30.53,75.08,79.1,73.2,1,2022-01-16
FinTech,Fraud Detection,Advanced,Low,Data Scientist,6,154.2,38,Medium,50.0,33.33,40.0,27.5,1,1,1,3,37.46,68.03,47.2,61.5,1,2022-01-16
Technology,Mobile Application,Basic,Low,Software Engineer,3,51.3,11,Low,60.0,0.0,60.0,100.0,0,1,2,3,11.22,83.1,59.8,70.3,1,2022-01-16
Technology,Mobile Application,Basic,Low,QA Engineer,3,54.2,10,Medium,25.0,0.0,25.0,60.71,1,0,0,1,20.04,85.91,37.4,47.8,0,2022-01-16
Technology,Mobile Application,Basic,Low,QA Engineer,3,54.2,10,Medium,50.0,100.0,50.0,100.0,0,0,4,3,23.98,73.85,56.8,49.5,1,2022-01-16
Media,Business Intelligence,Advanced,High,Data Engineer,5,255.7,62,Urgent,66.67,66.67,66.67,100.0,0,0,1,5,28.67,80.37,79.6,72.6,1,2022-01-16
Media,Business Intelligence,Advanced,High,Data Engineer,5,255.7,62,Urgent,16.67,33.33,0.0,100.0,0,0,3,2,11.42,86.93,48.6,61.0,0,2022-01-16
Media,Business Intelligence,Advanced,High,Data Engineer,5,255.7,62,Urgent,16.67,33.33,0.0,29.45,0,0,3,2,23.76,78.67,39.8,53.7,0,2022-01-16
Media,Business Intelligence,Advanced,High,Data Engineer,5,255.7,62,Urgent,66.67,66.67,50.0,93.39,1,0,0,3,5.61,91.67,54.9,48.3,1,2022-01-16
Media,Business Intelligence,Advanced,High,Data Engineer,5,255.7,62,Urgent,66.67,66.67,33.33,100.0,0,0,0,4,22.31,85.6,63.9,68.9,1,2022-01-16
Technology,Mobile Application,Basic,Low,Software Engineer,3,51.3,11,Low,20.0,0.0,20.0,100.0,1,1,6,5,29.97,77.9,77.8,80.4,1,2022-01-16
FinTech,Fraud Detection,Advanced,Low,Data Scientist,6,154.2,38,Medium,40.0,66.67,30.0,84.48,0,1,4,3,26.57,68.97,38.8,57.3,1,2022-01-16
Technology,Mobile Application,Basic,Low,Software Engineer,3,51.3,11,Low,60.0,100.0,60.0,100.0,1,0,0,5,30.91,71.97,67.8,76.2,1,2022-01-16
FinTech,Fraud Detection,Advanced,Low,Data Scientist,6,154.2,38,Medium,10.0,0.0,10.0,100.0,0,1,4,4,29.19,76.23,71.3,65.9,0,2022-01-16
Insurance,Database Migration,Moderate,Medium,Solution Architect,5,155.1,35,Urgent,62.5,66.67,50.0,100.0,0,0,5,4,43.44,65.92,69.3,61.3,1,2022-01-16
Retail,Database Migration,Basic,Low,Database Administrator,5,63.1,13,Low,50.0,100.0,50.0,100.0,0,1,1,2,21.35,80.66,32.8,60.0,1,2022-01-16
Insurance,Database Migration,Moderate,Medium,Solution Architect,5,155.1,35,Urgent,25.0,0.0,25.0,100.0,1,0,5,5,37.45,66.19,71.1,79.8,1,2022-01-16
Insurance,Database Migration,Moderate,Medium,Solution Architect,5,155.1,35,Urgent,25.0,0.0,25.0,100.0,0,0,4,4,47.75,59.66,56.0,81.6,0,2022-01-16
Retail,Database Migration,Basic,Low,Database Administrator,5,63.1,13,Low,50.0,100.0,50.0,100.0,0,1,4,5,44.01,66.08,65.1,73.8,1,2022-01-16
FinTech,Fraud Detection,Advanced,Low,Data Scientist,6,154.2,38,Medium,10.0,33.33,10.0,100.0,1,1,2,5,11.98,89.06,87.1,81.6,1,2022-01-16
Retail,Database Migration,Basic,Low,Database Administrator,5,63.1,13,Low,0.0,0.0,0.0,100.0,1,0,1,1,37.63,69.41,34.7,45.7,0,2022-01-16
Retail,Database Migration,Basic,Low,Database Administrator,5,63.1,13,Low,50.0,0.0,50.0,100.0,0,0,3,3,21.53,74.08,55.3,63.6,0,2022-01-16
FinTech,Fraud Detection,Advanced,Low,Data Scientist,6,154.2,38,Medium,60.0,66.67,60.0,100.0,1,1,1,5,19.87,87.23,89.1,82.7,1,2022-01-16
Manufacturing,Payment Systems,Moderate,High,Security Engineer,8,125.8,37,Urgent,66.67,100.0,66.67,74.76,1,0,1,5,23.79,73.3,61.2,72.5,0,2022-01-17
Media,Enterprise Architecture,Basic,Low,Technical Lead,6,60.2,13,Medium,50.0,100.0,50.0,70.68,0,1,0,1,21.18,77.89,20.0,37.2,0,2022-01-17
Media,Enterprise Architecture,Basic,Low,Technical Lead,6,60.2,13,Medium,50.0,0.0,50.0,100.0,0,0,2,3,36.69,65.37,40.5,48.0,0,2022-01-17
Manufacturing,Reporting,Moderate,Medium,Data Analyst,7,116.6,35,Medium,12.5,0.0,12.5,3.07,0,1,0,4,4.0,96.22,59.5,58.5,0,2022-01-17
Media,Enterprise Architecture,Basic,Low,Technical Lead,6,60.2,13,Medium,50.0,100.0,50.0,99.48,0,1,1,1,42.33,63.69,24.7,60.3,0,2022-01-17
Media,Enterprise Architecture,Basic,Low,Technical Lead,6,60.2,13,Medium,100.0,100.0,100.0,31.41,0,1,0,4,26.98,83.8,58.9,59.8,1,2022-01-17
Manufacturing,Reporting,Moderate,Medium,Data Analyst,7,116.6,35,Medium,50.0,33.33,50.0,100.0,0,1,1,4,38.38,72.11,49.7,64.3,1,2022-01-17
Manufacturing,Reporting,Moderate,Medium,BI Developer,5,116.8,29,Low,12.5,0.0,12.5,100.0,0,0,1,2,20.06,83.54,50.7,55.4,0,2022-01-17
Manufacturing,Reporting,Moderate,Medium,Data Analyst,7,116.6,35,Medium,62.5,33.33,50.0,100.0,0,1,5,2,39.14,71.95,53.1,52.6,1,2022-01-17
Manufacturing,Reporting,Moderate,Medium,Data Analyst,7,116.6,35,Medium,37.5,33.33,37.5,100.0,0,0,3,4,32.19,67.35,54.8,67.3,1,2022-01-17
Manufacturing,Reporting,Moderate,Medium,BI Developer,5,116.8,29,Low,12.5,0.0,12.5,100.0,0,0,6,5,32.22,75.38,72.9,57.3,0,2022-01-17
Telecom,Data Analytics,Moderate,Low,Data Scientist,3,177.9,47,High,12.5,0.0,12.5,100.0,0,0,2,2,32.02,69.2,34.7,67.2,0,2022-01-17
Telecom,Data Analytics,Moderate,Low,Data Scientist,3,177.9,47,High,62.5,100.0,37.5,42.06,0,1,2,2,28.48,74.27,23.9,60.8,1,2022-01-17
Manufacturing,Payment Systems,Moderate,High,Security Engineer,8,125.8,37,Urgent,100.0,100.0,66.67,96.12,0,0,2,4,36.14,69.82,66.8,77.0,1,2022-01-17
Media,Enterprise Architecture,Basic,Low,Technical Lead,6,60.2,13,Medium,100.0,100.0,100.0,100.0,1,1,1,4,4.0,91.09,71.4,69.3,1,2022-01-17
Manufacturing,Payment Systems,Moderate,High,Security Engineer,8,125.8,37,Urgent,100.0,100.0,100.0,100.0,0,0,1,3,20.21,80.45,63.8,55.6,1,2022-01-17
Manufacturing,Reporting,Moderate,Medium,BI Developer,5,116.8,29,Low,25.0,0.0,25.0,28.09,0,0,0,1,21.0,87.05,38.2,62.3,0,2022-01-17
Manufacturing,Reporting,Moderate,Medium,BI Developer,5,116.8,29,Low,37.5,0.0,37.5,78.65,0,0,4,5,32.95,69.6,61.9,77.4,1,2022-01-17
