employee_id,Department,Job_Title,Years_At_Company,Education_Level,Performance_Score,Projects_Handled,esco_occupation,reliability_score,collaboration_score,critical_project_experience,capacity_week,baseline_load,esco_occupation_uri,isco_group,domain_experience,skill_count,assignments_in_dataset
32115,Marketing,Analyst,5,Bachelor,1,14,market research analyst,30.8,53.9,1,58.69515011547344,0.5321428571428571,http://data.europa.eu/esco/occupation/66fb9704-0d56-4673-8e69-7823816b73e1,2431,E-commerce|FinTech|Logistics|Media,46,2
48238,Customer Support,Technician,5,Master,3,35,ICT help desk agent,44.8,66.1,1,31.38568129330254,0.39285714285714285,http://data.europa.eu/esco/occupation/aaeec9a7-dc57-4485-890c-86b3eef735f9,3512,FinTech|Travel,23,1
55808,Engineering,Technician,6,High School,3,17,computer hardware repair technician,53.4,49.1,1,35.69515011547344,0.22081632653061228,http://data.europa.eu/esco/occupation/b7aa4b4e-dbb6-4f58-b36c-35b9a7267972,7422,Education|SaaS|Travel,27,2
90539,Engineering,Consultant,9,Master,4,22,ICT consultant,67.4,58.3,5,45.61662817551963,0.4569387755102041,http://data.europa.eu/esco/occupation/b1c80369-067e-4041-84c8-dbe65640a5d8,2511,Healthcare|Logistics|Manufacturing|Media|Telecom|Travel,30,2
2984,IT,Manager,1,Bachelor,3,47,ICT project manager,54.1,62.0,2,61.92609699769053,0.9475510204081632,http://data.europa.eu/esco/occupation/8b6388a4-4904-471b-9331-d3b1211f5525,1330,Energy|Manufacturing|SaaS,38,5
85203,IT,Consultant,0,Bachelor,4,25,ICT consultant,59.5,77.2,4,62.23325635103926,0.7156122448979592,http://data.europa.eu/esco/occupation/b1c80369-067e-4041-84c8-dbe65640a5d8,2511,SaaS,27,2
91423,IT,Specialist,2,Bachelor,3,44,ICT security administrator,55.6,60.2,1,41.235565819861435,0.5688775510204082,http://data.europa.eu/esco/occupation/0464b062-cea6-4164-b10d-956c61956ae7,2529,Manufacturing|Media,36,14
79796,IT,Analyst,0,Bachelor,2,21,ICT test analyst,25.5,48.3,1,36.235565819861435,0.23571428571428574,http://data.europa.eu/esco/occupation/0ab5c12c-c1c1-4772-8345-aa287d0e391d,2519,Education|Travel,15,2
19386,Finance,Engineer,9,Bachelor,3,27,data analyst,55.4,46.2,4,36.84757505773672,0.37806122448979596,http://data.europa.eu/esco/occupation/d3edb8f8-3a06-47a0-8fb9-9b212c006aa2,2511,Telecom,49,10
59624,IT,Engineer,2,High School,2,29,cloud DevOps engineer,37.8,49.2,2,33.92378752886836,0.37051020408163265,http://data.europa.eu/esco/occupation/cc867bee-ab5c-427f-9244-f7a204d9574b,2512,Retail|Telecom,22,8
97811,IT,Technician,1,Bachelor,5,13,ICT network technician,64.6,74.4,1,42.08083140877598,0.2509183673469388,http://data.europa.eu/esco/occupation/64c7d461-152c-477f-a8e2-c2c537e9d617,3513,Healthcare|Technology,29,4
89867,Sales,Specialist,7,High School,2,46,technical sales representative,39.2,61.4,5,44.00230946882217,0.6813265306122449,http://data.europa.eu/esco/occupation/c956be07-53a3-4b01-b8f8-f0c5a428eaa8,2433,Banking|Education|Media|SaaS|Technology,43,0
23894,Engineering,Developer,9,Bachelor,1,40,software developer,41.4,42.2,4,60.0,0.8989795918367347,http://data.europa.eu/esco/occupation/f2b15a0e-e65a-438a-affb-29b9d50b77d1,2512,E-commerce,54,6
80800,Legal,Technician,2,High School,5,9,legal administrative assistant,55.3,90.0,0,42.773672055427255,0.2060204081632653,http://data.europa.eu/esco/occupation/0264b794-3771-47aa-a675-78bf13b62ee7,3342,Banking|Healthcare|Technology,23,0
53473,Sales,Engineer,0,Bachelor,1,45,ICT presales engineer,28.5,34.7,2,34.23094688221709,0.5651020408163266,http://data.europa.eu/esco/occupation/16605833-c196-48d7-a6f5-bbdebdc353df,2434,E-commerce|FinTech|Technology,17,0
27343,Operations,Consultant,7,High School,1,14,marketing consultant,37.6,46.5,1,60.84988452655889,0.5471428571428572,http://data.europa.eu/esco/occupation/4791e217-d607-40d5-9f84-df1d0a071cbc,2431,Energy|Healthcare,32,0
11108,IT,Technician,1,Bachelor,4,46,ICT system tester,68.6,68.2,3,62.38799076212471,0.9363265306122448,http://data.europa.eu/esco/occupation/52d5edc9-7902-4cd3-8b06-6bd77c98d440,2519,Media|SaaS|Technology,27,9
5796,Customer Support,Specialist,8,Master,5,39,customer service representative,86.3,70.7,5,42.77136258660508,0.5877551020408164,http://data.europa.eu/esco/occupation/13d1b2b4-99dd-44da-9734-c9f74bae18f7,4225,Insurance|Logistics|Technology|Travel,33,0
35096,IT,Technician,9,PhD,5,46,ICT security technician,74.5,76.1,11,55.84988452655889,0.8313265306122449,http://data.europa.eu/esco/occupation/a44a1dc5-be08-4840-8bd5-770c4ac1ca6d,3512,FinTech|Media|Telecom,70,11
66414,Engineering,Manager,7,Bachelor,1,22,ICT change and configuration manager,22.7,41.1,5,50.61662817551963,0.5319387755102041,http://data.europa.eu/esco/occupation/3b1ea27c-781c-41eb-821f-214285260dd2,2519,Government|SaaS,28,2
213,Operations,Developer,1,Bachelor,4,16,ICT application configurator,54.4,55.1,0,34.3094688221709,0.2095918367346939,http://data.europa.eu/esco/occupation/456ed487-02f2-45c9-9213-d0fd8e9a069d,2514,Government|Healthcare|Logistics|Technology,40,6
4766,Operations,Consultant,6,High School,4,14,business analyst,62.8,79.4,3,60.07852193995381,0.5771428571428572,http://data.europa.eu/esco/occupation/60082a99-d8ef-4e84-9290-78902681b6ed,2421,Banking|Education|Energy|Telecom|Travel,37,1
73183,IT,Consultant,5,Bachelor,1,34,green ICT consultant,22.9,35.5,4,38.84988452655889,0.44163265306122457,http://data.europa.eu/esco/occupation/22987b58-dbfa-4ecd-ae3f-82dd209255f6,2511,Banking|E-commerce|FinTech|Healthcare|Manufacturing,17,0
48602,IT,Developer,3,Master,1,5,web developer,26.0,52.3,0,36.773672055427255,0.07112244897959184,http://data.europa.eu/esco/occupation/c40a2919-48a9-40ea-b506-1f34f693496d,2513,FinTech|Healthcare|Insurance|SaaS,53,6
61083,IT,Manager,1,Bachelor,1,33,ICT business analysis manager,23.2,44.6,2,32.84757505773672,0.3854081632653062,http://data.europa.eu/esco/occupation/4b3201cb-ffc5-4f61-9fc3-5c0f0038fa5f,2511,Banking|Government|Healthcare|SaaS,20,5
36794,Customer Support,Specialist,9,Bachelor,3,13,customer contact centre information clerk,42.5,49.7,2,51.235565819861435,0.3709183673469388,http://data.europa.eu/esco/occupation/b7b75eb6-34bc-462d-b412-eed393cc1397,4222,Insurance|Technology|Telecom,20,0
43923,IT,Technician,2,Bachelor,4,4,ICT technician,56.3,67.8,0,59.69284064665127,0.47989795918367345,http://data.europa.eu/esco/occupation/3e7bf729-4442-4b9f-ad5e-83111963795c,3512,Education,39,5
69756,Operations,Specialist,5,Bachelor,5,12,data quality specialist,65.9,82.8,0,50.466512702078525,0.34469387755102043,http://data.europa.eu/esco/occupation/7086d0ca-1e77-4690-89c9-7ed1a0478fa3,2519,Healthcare|Technology|Travel,30,4
80167,IT,Analyst,0,Bachelor,4,3,ICT test analyst,59.5,58.5,0,36.15704387990762,0.0636734693877551,http://data.europa.eu/esco/occupation/0ab5c12c-c1c1-4772-8345-aa287d0e391d,2519,Logistics|Technology,18,3
3210,Engineering,Developer,8,High School,1,0,digital games developer,27.2,52.6,0,35.38799076212471,0.05,http://data.europa.eu/esco/occupation/9ebaf3f0-0be0-47b7-b2b1-b3b04130fa81,2513,Energy|SaaS|Telecom,36,5
54477,IT,Analyst,5,Bachelor,1,33,ICT test analyst,20.2,55.5,2,40.00461893764434,0.4304081632653062,http://data.europa.eu/esco/occupation/0ab5c12c-c1c1-4772-8345-aa287d0e391d,2519,FinTech|Manufacturing|Technology,14,2
99996,Finance,Technician,1,Bachelor,4,46,accounting assistant,70.5,76.7,2,56.15473441108545,0.8913265306122449,http://data.europa.eu/esco/occupation/bfe142b9-a049-4d41-89c4-fd2f34ac56b6,3313,Telecom|Travel,26,1
57781,IT,Analyst,5,Master,4,26,ICT system analyst,75.0,72.5,1,57.0,0.6968367346938775,http://data.europa.eu/esco/occupation/a6a0b60f-08da-4faa-bf54-942987efb471,2511,Banking|Travel,59,5
61836,HR,Engineer,9,PhD,3,20,human resources officer,52.2,61.1,6,56.46420323325635,0.5694897959183673,http://data.europa.eu/esco/occupation/d3e32e5e-7f24-48e3-b939-e4f800eb62fb,2423,E-commerce|Government|Healthcare|Logistics|Media,33,0
36116,IT,Engineer,1,Bachelor,5,9,ICT network engineer,79.2,87.7,1,35.84988452655889,0.11602040816326531,http://data.europa.eu/esco/occupation/cf2b03cd-feb7-4f47-90f6-ff1ed6016d3d,2523,Banking|Education|FinTech|Telecom,58,14
32138,Engineering,Analyst,7,Master,1,18,software analyst,20.6,36.6,0,38.311778290993075,0.24704081632653063,http://data.europa.eu/esco/occupation/04ba4d6c-957d-417f-bf63-5b9e015a9f86,2512,Education|FinTech|Media,54,8
92460,IT,Developer,5,Bachelor,5,11,cloud software developer,66.8,82.1,2,52.77136258660508,0.423469387755102,http://data.europa.eu/esco/occupation/781a6350-e686-45b9-b075-e4c8d5a05ff7,2512,E-commerce|Technology|Travel,22,2
79079,Engineering,Consultant,4,Bachelor,5,11,ICT consultant,83.7,61.6,0,51.0,0.43846938775510214,http://data.europa.eu/esco/occupation/b1c80369-067e-4041-84c8-dbe65640a5d8,2511,Energy|Insurance|Logistics|SaaS|Travel,27,2
86120,HR,Developer,6,Master,1,27,ICT trainer,39.3,60.2,1,61.23325635103926,0.7230612244897959,http://data.europa.eu/esco/occupation/9e657046-67ce-4e16-ab2e-ddb918638910,2356,Government|Insurance|Manufacturing|Travel,25,0
91994,IT,Consultant,6,Bachelor,3,1,ICT consultant,67.3,43.6,0,34.38799076212471,0.05,http://data.europa.eu/esco/occupation/b1c80369-067e-4041-84c8-dbe65640a5d8,2511,Healthcare|Retail|Technology|Telecom,27,0
19783,IT,Manager,5,Master,3,29,software manager,56.3,69.0,1,34.46189376443418,0.38551020408163267,http://data.europa.eu/esco/occupation/f31f487b-4ce2-40f3-90e8-7d0011b4ef1d,1330,Telecom,32,1
90947,Customer Support,Consultant,1,High School,3,29,customer experience manager,57.3,70.2,2,50.23325635103926,0.5805102040816327,http://data.europa.eu/esco/occupation/9c9752b7-3e3b-4a08-8553-b63a013f8072,2431,Government|Manufacturing|Travel,30,0
50575,Engineering,Analyst,5,Bachelor,2,49,software analyst,39.2,53.5,3,58.77136258660508,0.9400000000000001,http://data.europa.eu/esco/occupation/04ba4d6c-957d-417f-bf63-5b9e015a9f86,2512,FinTech|SaaS|Technology,52,4
7139,IT,Analyst,7,Master,2,32,data scientist,45.3,52.1,2,39.69515011547344,0.4491836734693878,http://data.europa.eu/esco/occupation/258e46f9-0075-4a2e-adae-1ff0477e0f30,2511,Media,70,14
24798,IT,Specialist,8,Master,4,0,geographic information systems specialist,72.5,65.1,0,39.46420323325635,0.09000000000000001,http://data.europa.eu/esco/occupation/9af8907f-56a7-4170-83b1-3c6ba0997cfa,2165,Banking|FinTech|Logistics|Media|Retail,31,3
98488,HR,Manager,0,Bachelor,2,32,corporate training manager,37.0,57.8,1,51.92609699769053,0.6291836734693877,http://data.europa.eu/esco/occupation/a14e96a7-6c4d-4d69-8c6f-7ccadf77bac5,1212,Education|Insurance|Retail,49,2
66964,Marketing,Manager,9,Bachelor,2,13,advertising manager,42.7,64.1,2,46.3094688221709,0.35591836734693877,http://data.europa.eu/esco/occupation/4ebf2dae-c326-4627-befe-fbc91410f432,1222,Travel,41,0
28830,Operations,Manager,1,Bachelor,3,33,logistics and distribution manager,57.4,40.0,1,47.15473441108545,0.6104081632653062,http://data.europa.eu/esco/occupation/823db06f-25e1-4658-b063-d6ef956b41f5,1324,Logistics|Technology|Travel,38,0
63449,Sales,Manager,4,High School,5,49,aftersales service manager,81.3,65.7,5,38.77136258660508,0.64,http://data.europa.eu/esco/occupation/a2ade835-81c2-452e-a4d8-a90348bbe378,1221,Logistics|Media,6,0
38817,Operations,Analyst,9,High School,2,2,data quality specialist,54.8,57.9,0,36.00461893764434,0.05,http://data.europa.eu/esco/occupation/7086d0ca-1e77-4690-89c9-7ed1a0478fa3,2519,Government|Healthcare|Logistics|Manufacturing|Retail,24,2
92745,IT,Developer,5,Bachelor,3,25,cloud software developer,53.6,71.7,1,48.92378752886836,0.5506122448979591,http://data.europa.eu/esco/occupation/781a6350-e686-45b9-b075-e4c8d5a05ff7,2512,Healthcare|Insurance|Manufacturing|SaaS|Telecom|Travel,22,3
18543,Engineering,Technician,8,Bachelor,2,34,computer hardware repair technician,50.9,43.0,4,61.00230946882217,0.8016326530612246,http://data.europa.eu/esco/occupation/b7aa4b4e-dbb6-4f58-b36c-35b9a7267972,7422,Energy|FinTech|Government|Manufacturing|Travel,27,0
44329,Engineering,Engineer,9,PhD,3,24,data engineer,44.0,66.4,3,59.466512702078525,0.6143877551020408,http://data.europa.eu/esco/occupation/2079755f-d809-49e6-8037-4de6180e54c0,2511,Energy|Logistics|Manufacturing|Media|Retail,25,4
65762,Finance,Developer,3,Bachelor,3,44,software developer,39.8,57.0,3,36.00230946882217,0.5388775510204082,http://data.europa.eu/esco/occupation/f2b15a0e-e65a-438a-affb-29b9d50b77d1,2512,Education|Insurance,59,7
40689,Engineering,Specialist,5,Master,5,43,data scientist,68.1,69.6,2,52.54041570438799,0.7826530612244899,http://data.europa.eu/esco/occupation/258e46f9-0075-4a2e-adae-1ff0477e0f30,2511,Manufacturing|Media|SaaS,70,14
75763,Engineering,Analyst,1,Bachelor,5,14,data analyst,59.6,74.0,2,50.466512702078525,0.36714285714285716,http://data.europa.eu/esco/occupation/d3edb8f8-3a06-47a0-8fb9-9b212c006aa2,2511,Manufacturing|Technology|Telecom,47,9
11669,Marketing,Developer,7,High School,5,41,digital media designer,68.9,79.1,7,42.311778290993075,0.5652040816326531,http://data.europa.eu/esco/occupation/d5a43cd3-230e-46d0-ba05-d67d61e5cfbb,2166,E-commerce,67,7
84875,Customer Support,Analyst,5,High School,3,31,call centre analyst,41.5,49.6,2,65.00461893764434,0.7829591836734694,http://data.europa.eu/esco/occupation/30ca97f4-a4fd-4189-a781-ac08f6b09b78,3341,Energy|Manufacturing|SaaS|Telecom|Travel,24,0
46125,Engineering,Analyst,9,Master,1,39,ICT test analyst,36.0,41.0,2,48.84988452655889,0.6477551020408163,http://data.europa.eu/esco/occupation/0ab5c12c-c1c1-4772-8345-aa287d0e391d,2519,Manufacturing|Media|Technology|Telecom,17,2
69575,IT,Consultant,4,High School,3,8,cloud architect,48.0,57.7,1,36.00230946882217,0.13479591836734695,http://data.europa.eu/esco/occupation/2fb96c6c-8d0b-4ef0-b1ee-3e493305e4eb,2512,FinTech,7,3
35008,Finance,Specialist,1,High School,1,44,public finance accountant,27.2,37.6,2,46.00230946882217,0.6888775510204082,http://data.europa.eu/esco/occupation/78db356f-a96a-4456-ab29-2de62e52f830,2411,Education|Energy|FinTech|Government,13,1
33307,IT,Analyst,2,Bachelor,4,33,ICT test analyst,56.6,73.2,3,41.92609699769053,0.4904081632653062,http://data.europa.eu/esco/occupation/0ab5c12c-c1c1-4772-8345-aa287d0e391d,2519,Media,22,3
3029,IT,Analyst,4,Bachelor,5,33,ICT test analyst,74.9,94.2,3,34.23325635103926,0.3854081632653062,http://data.europa.eu/esco/occupation/0ab5c12c-c1c1-4772-8345-aa287d0e391d,2519,Media|SaaS|Telecom,24,2
11371,Customer Support,Manager,7,PhD,4,35,customer experience manager,61.2,67.3,6,62.23325635103926,0.8278571428571428,http://data.europa.eu/esco/occupation/9c9752b7-3e3b-4a08-8553-b63a013f8072,2431,Energy|Telecom|Travel,34,1
99283,Marketing,Manager,7,PhD,1,26,advertising manager,43.1,39.2,1,36.00461893764434,0.29183673469387755,http://data.europa.eu/esco/occupation/4ebf2dae-c326-4627-befe-fbc91410f432,1222,Education|Insurance|Logistics|Media|Travel,40,1
59068,IT,Developer,5,Bachelor,3,48,web developer,54.7,54.9,2,48.92378752886836,0.8087755102040817,http://data.europa.eu/esco/occupation/c40a2919-48a9-40ea-b506-1f34f693496d,2513,FinTech,61,11
66575,Legal,Manager,1,Master,2,28,contract manager,37.1,50.9,0,47.23094688221709,0.5692857142857144,http://data.europa.eu/esco/occupation/2c9939ef-ebab-4111-8f27-605ae8782791,2619,Education|Healthcare|Manufacturing|Media,25,0
45342,IT,Analyst,9,Bachelor,5,2,ICT test analyst,79.8,72.5,0,54.773672055427255,0.30744897959183676,http://data.europa.eu/esco/occupation/0ab5c12c-c1c1-4772-8345-aa287d0e391d,2519,Banking|Healthcare|Media|Telecom,22,3
75801,Customer Support,Specialist,8,High School,1,24,ICT help desk agent,30.0,40.7,5,42.23094688221709,0.4493877551020409,http://data.europa.eu/esco/occupation/aaeec9a7-dc57-4485-890c-86b3eef735f9,3512,Government|Insurance,21,1
11688,IT,Manager,7,High School,3,33,software manager,53.0,61.0,2,56.69284064665127,0.7604081632653061,http://data.europa.eu/esco/occupation/f31f487b-4ce2-40f3-90e8-7d0011b4ef1d,1330,FinTech|Media,32,3
83681,Engineering,Specialist,2,Master,2,18,computer vision engineer,36.7,56.5,1,41.77136258660508,0.3370408163265306,http://data.europa.eu/esco/occupation/1c5a45b9-440e-4726-b565-16a952abd341,2511,Government|SaaS,36,6
15780,HR,Developer,8,Master,2,10,corporate trainer,37.5,55.8,2,47.54272517321016,0.2922448979591837,http://data.europa.eu/esco/occupation/0ba06640-e0ac-4911-9e43-289a8e41651e,2424,Energy|Retail|Technology|Telecom|Travel,23,0
48014,Engineering,Developer,6,High School,1,23,embedded systems software developer,26.6,42.4,5,50.0,0.5581632653061224,http://data.europa.eu/esco/occupation/57af9090-55b4-4911-b2d0-86db01c00b02,2514,SaaS|Telecom,31,6
58795,IT,Analyst,8,High School,4,45,ICT disaster recovery analyst,53.3,69.6,4,54.697459584295615,0.7751020408163265,http://data.europa.eu/esco/occupation/102e75c8-3b47-4964-9b47-30a980aed25c,2519,Energy|SaaS|Telecom,29,8
2675,Operations,Consultant,7,Bachelor,2,16,ICT consultant,46.3,67.8,2,44.08083140877598,0.3145918367346939,http://data.europa.eu/esco/occupation/b1c80369-067e-4041-84c8-dbe65640a5d8,2511,Government|Manufacturing|Retail,24,5
85214,IT,Engineer,4,Bachelor,1,0,cloud DevOps engineer,29.9,52.8,0,52.00230946882217,0.28500000000000003,http://data.europa.eu/esco/occupation/cc867bee-ab5c-427f-9244-f7a204d9574b,2512,Energy,26,6
64091,Customer Support,Specialist,8,Bachelor,5,18,customer service representative,78.9,74.0,3,47.0,0.4570408163265306,http://data.europa.eu/esco/occupation/13d1b2b4-99dd-44da-9734-c9f74bae18f7,4225,Healthcare|Travel,36,0
31300,Engineering,Manager,8,Bachelor,2,7,ICT research manager,46.0,49.8,1,33.23094688221709,0.12357142857142858,http://data.europa.eu/esco/occupation/9db7d74c-b46d-45c0-b611-6bcb7456ecc6,1223,Energy|Logistics|SaaS,27,2
72701,Legal,Engineer,3,Bachelor,3,45,contract engineer,45.5,52.8,8,44.46420323325635,0.6701020408163266,http://data.europa.eu/esco/occupation/836f0a96-7546-4003-9fc8-714fc79199d4,2149,Government|Insurance|Retail,19,0
84436,Customer Support,Analyst,8,Master,3,25,call centre analyst,44.1,73.4,5,57.311778290993075,0.6106122448979592,http://data.europa.eu/esco/occupation/30ca97f4-a4fd-4189-a781-ac08f6b09b78,3341,Banking|Manufacturing|Travel,21,3
3889,Sales,Analyst,4,Bachelor,4,13,sales processor,62.9,64.7,3,56.23325635103926,0.4909183673469387,http://data.europa.eu/esco/occupation/73357956-f607-4baa-9ce6-03beb9b39da2,5223,Logistics|Manufacturing|Retail|Travel,22,0
99394,IT,Analyst,6,Bachelor,2,33,ICT system analyst,40.3,54.7,2,52.15473441108545,0.6854081632653062,http://data.europa.eu/esco/occupation/a6a0b60f-08da-4faa-bf54-942987efb471,2511,Manufacturing,48,10
23601,Customer Support,Technician,2,Master,5,14,ICT help desk agent,63.6,78.2,1,40.235565819861435,0.21714285714285717,http://data.europa.eu/esco/occupation/aaeec9a7-dc57-4485-890c-86b3eef735f9,3512,Insurance,26,2
84631,Finance,Manager,4,High School,1,19,financial manager,32.8,58.8,1,56.3094688221709,0.5732653061224491,http://data.europa.eu/esco/occupation/30f3ea93-882a-4525-841c-1d5b4b64076f,1211,Banking|Energy|FinTech,57,4
55924,Finance,Analyst,8,Master,3,18,accounting analyst,60.2,57.6,1,42.00230946882217,0.3370408163265306,http://data.europa.eu/esco/occupation/caafca69-9faa-4850-8930-a3fa07fea4e6,2411,E-commerce|FinTech|Logistics|Media|Technology,26,1
58785,Finance,Technician,7,Bachelor,4,41,auditing clerk,55.0,67.0,4,53.54272517321016,0.730204081632653,http://data.europa.eu/esco/occupation/1f665529-96e9-46c1-99f4-9ffbf9ffa036,4312,FinTech|Media,22,0
78145,IT,Specialist,9,Master,5,40,geographic information systems specialist,70.6,76.7,5,59.235565819861435,0.7939795918367347,http://data.europa.eu/esco/occupation/9af8907f-56a7-4170-83b1-3c6ba0997cfa,2165,Government|SaaS|Travel,37,1
76696,Sales,Consultant,2,Bachelor,3,10,sales account manager,64.6,58.4,1,39.54272517321016,0.17224489795918368,http://data.europa.eu/esco/occupation/2eac08c2-a81a-46fc-8d75-eb0e0f3e0f6d,1420,Logistics|SaaS|Travel,22,0
85137,IT,Technician,3,PhD,3,40,data centre operator,51.2,61.0,1,46.15473441108545,0.6739795918367347,http://data.europa.eu/esco/occupation/9729c0f3-c9bc-482e-ac59-a82ec3b67ba3,3511,Insurance|Technology,26,9
62627,Operations,Developer,5,Bachelor,3,26,ICT application configurator,42.6,60.6,1,53.466512702078525,0.5468367346938776,http://data.europa.eu/esco/occupation/456ed487-02f2-45c9-9213-d0fd8e9a069d,2514,E-commerce|Logistics,39,0
80443,Operations,Developer,2,Bachelor,4,23,ICT application configurator,61.4,83.7,2,45.77136258660508,0.45316326530612244,http://data.europa.eu/esco/occupation/456ed487-02f2-45c9-9213-d0fd8e9a069d,2514,Banking|Government|Travel,47,9
3562,IT,Technician,0,High School,1,4,software tester,26.6,43.4,0,49.92378752886836,0.3298979591836735,http://data.europa.eu/esco/occupation/106f79e4-6264-45f1-9e7a-297435cd684b,2519,Technology,31,10
39200,Engineering,Developer,8,Bachelor,5,23,IoT developer,76.8,56.5,3,57.23325635103926,0.6181632653061224,http://data.europa.eu/esco/occupation/6ce5f7e3-a534-4aa2-ab23-255408ddb53a,2512,Government|Healthcare|Insurance|SaaS|Technology,18,1
95159,Finance,Consultant,4,High School,5,35,financial planner,74.3,68.1,4,35.77136258660508,0.43785714285714283,http://data.europa.eu/esco/occupation/21de0f3b-a71a-4263-a9ba-90c5f3721b4d,2412,Insurance|Manufacturing,37,1
51697,Customer Support,Manager,4,High School,1,6,customer experience manager,22.3,46.0,1,46.235565819861435,0.2173469387755102,http://data.europa.eu/esco/occupation/9c9752b7-3e3b-4a08-8553-b63a013f8072,2431,FinTech|Technology,27,0
63909,Customer Support,Analyst,6,PhD,4,7,data analyst,66.1,51.9,0,38.54041570438799,0.1685714285714286,http://data.europa.eu/esco/occupation/d3edb8f8-3a06-47a0-8fb9-9b212c006aa2,2511,Energy,55,6
38782,IT,Specialist,2,High School,4,45,geographic information systems specialist,59.7,65.9,2,58.77136258660508,0.8951020408163266,http://data.europa.eu/esco/occupation/9af8907f-56a7-4170-83b1-3c6ba0997cfa,2165,Banking|Energy|Insurance|Telecom,33,0
